state,region,soil_type,rainfall_mm,season,area_ha,crop_name,predicted_yield_kg_per_ha
Uttarakhand,North,Clay,870,Rabi,1.54,Wheat,2922
Gujarat,West,Loamy,440,Rabi,2.46,Cotton,2167
Arunachal Pradesh,Northeast,Sandy,1399,Kharif,3.17,Vegetables,12328
Rajasthan,West,Laterite,1179,Kharif,1.51,Vegetables,14867
Sikkim,Northeast,Red,547,Kharif,1.27,Sugarcane,59297
Madhya Pradesh,Central,Black (Regur),898,Zaid,1.72,Wheat,2692
Telangana,South,Sandy,855,Rabi,1.81,Sugarcane,61753
Rajasthan,West,Black (Regur),711,Zaid,1.6,Maize,2897
Tripura,Northeast,Laterite,927,Kharif,1.83,Potato,20853
Uttarakhand,North,Clay,765,Rabi,3.83,Rice,3718
Karnataka,South,Black (Regur),873,Rabi,0.1,Pulses,1056
Goa,West,Clay,1052,Kharif,0.1,Wheat,2899
Uttarakhand,North,Alluvial,763,Kharif,0.63,Vegetables,19284
Goa,West,Alluvial,1252,Rabi,0.63,Pulses,1091
Uttar Pradesh,North,Loamy,402,Kharif,1.34,Maize,3580
Chhattisgarh,Central,Black (Regur),1375,Kharif,2.35,Jute,2205
Odisha,East,Black (Regur),546,Zaid,2.97,Vegetables,13323
Kerala,South,Laterite,1089,Zaid,1.62,Sugarcane,54032
Nagaland,Northeast,Loamy,1145,Kharif,1.48,Oilseeds,1279
Chhattisgarh,Central,Loamy,1286,Kharif,2.45,Jute,2812
Tamil Nadu,South,Red,736,Rabi,0.1,Millets,1538
Kerala,South,Laterite,929,Rabi,2.9,Jute,2521
Kerala,South,Laterite,1121,Rabi,2.03,Oilseeds,1253
Tripura,Northeast,Laterite,694,Zaid,0.48,Millets,1158
Chhattisgarh,Central,Loamy,917,Rabi,0.87,Sugarcane,87741
Arunachal Pradesh,Northeast,Red,692,Kharif,3.19,Jute,2359
Mizoram,Northeast,Red,1131,Kharif,1.24,Millets,1437
Nagaland,Northeast,Sandy,1149,Zaid,2.95,Vegetables,12434
Odisha,East,Alluvial,652,Kharif,0.28,Millets,1476
Odisha,East,Black (Regur),487,Rabi,1.01,Potato,24057
Uttar Pradesh,North,Black (Regur),1200,Kharif,1.97,Oilseeds,1313
Karnataka,South,Loamy,1175,Kharif,1.42,Pulses,945
Kerala,South,Laterite,875,Kharif,2.4,Wheat,2408
Madhya Pradesh,Central,Clay,1171,Zaid,0.1,Jute,2127
Goa,West,Black (Regur),769,Rabi,1.51,Pulses,1092
Haryana,North,Alluvial,427,Kharif,0.17,Millets,1558
Nagaland,Northeast,Laterite,828,Rabi,0.1,Jute,2267
Arunachal Pradesh,Northeast,Sandy,651,Kharif,2.36,Sugarcane,50175
Punjab,North,Alluvial,976,Kharif,0.45,Jute,2913
Gujarat,West,Alluvial,1075,Kharif,2.32,Oilseeds,1391
Chhattisgarh,Central,Red,774,Zaid,2.59,Vegetables,15051
Jharkhand,East,Sandy,835,Kharif,0.52,Rice,2607
Sikkim,Northeast,Red,829,Rabi,0.1,Rice,3355
Himachal Pradesh,North,Clay,913,Rabi,1.89,Oilseeds,1294
Rajasthan,West,Black (Regur),867,Kharif,1.22,Wheat,2896
Manipur,Northeast,Loamy,487,Kharif,1.48,Oilseeds,1323
Telangana,South,Sandy,699,Kharif,3.08,Sugarcane,51194
Goa,West,Sandy,966,Kharif,0.1,Millets,1420
Himachal Pradesh,North,Laterite,685,Kharif,4.23,Potato,19830
Tamil Nadu,South,Red,249,Kharif,0.46,Potato,16010
Odisha,East,Black (Regur),1420,Rabi,0.89,Potato,20774
Tamil Nadu,South,Loamy,700,Kharif,1.61,Sugarcane,70336
Nagaland,Northeast,Sandy,906,Rabi,1.89,Sugarcane,60312
Haryana,North,Loamy,831,Kharif,0.91,Sugarcane,80755
Goa,West,Black (Regur),1141,Kharif,4.44,Jute,2532
Arunachal Pradesh,Northeast,Sandy,858,Kharif,0.1,Rice,2898
Goa,West,Alluvial,620,Zaid,2.35,Potato,22250
Andhra Pradesh,South,Red,1274,Kharif,1.4,Oilseeds,1290
Chhattisgarh,Central,Laterite,663,Rabi,3.2,Millets,1342
Goa,West,Red,908,Rabi,0.76,Millets,1776
Uttarakhand,North,Black (Regur),965,Rabi,2.11,Jute,3164
Andhra Pradesh,South,Clay,709,Kharif,2.89,Vegetables,15158
Rajasthan,West,Loamy,793,Kharif,2.65,Sugarcane,79947
Tamil Nadu,South,Loamy,784,Zaid,3.09,Cotton,2227
Meghalaya,Northeast,Sandy,702,Kharif,0.1,Sugarcane,61516
Uttarakhand,North,Clay,985,Rabi,0.1,Sugarcane,78134
Assam,Northeast,Clay,509,Kharif,1.45,Maize,2836
West Bengal,East,Laterite,259,Rabi,1.68,Oilseeds,1009
Manipur,Northeast,Sandy,371,Kharif,2.01,Rice,2372
Uttarakhand,North,Alluvial,839,Kharif,1.86,Rice,3766
Assam,Northeast,Red,960,Kharif,0.1,Millets,1635
Kerala,South,Clay,811,Zaid,1.84,Millets,1523
Chhattisgarh,Central,Laterite,777,Zaid,1.89,Cotton,1814
Tripura,Northeast,Loamy,639,Rabi,2.04,Cotton,2143
Kerala,South,Loamy,1331,Rabi,1.85,Vegetables,18017
Andhra Pradesh,South,Sandy,517,Kharif,0.42,Rice,2298
Arunachal Pradesh,Northeast,Laterite,926,Rabi,0.85,Potato,21653
Telangana,South,Clay,790,Rabi,2.42,Maize,4055
Mizoram,Northeast,Alluvial,489,Rabi,0.43,Maize,3771
Maharashtra,West,Red,650,Zaid,0.1,Jute,2025
Maharashtra,West,Clay,912,Kharif,2.36,Maize,3565
Arunachal Pradesh,Northeast,Sandy,724,Kharif,2.09,Jute,2204
Manipur,Northeast,Loamy,1176,Rabi,1.87,Vegetables,20369
West Bengal,East,Sandy,580,Rabi,1,Jute,2047
Andhra Pradesh,South,Loamy,1242,Kharif,1.5,Cotton,2356
Tamil Nadu,South,Sandy,830,Kharif,2.82,Millets,1301
Himachal Pradesh,North,Black (Regur),1235,Kharif,1.34,Jute,2865
Kerala,South,Clay,1041,Kharif,2.24,Vegetables,17065
Maharashtra,West,Laterite,1076,Kharif,0.28,Millets,1543
Karnataka,South,Loamy,718,Rabi,1.54,Jute,2795
Telangana,South,Sandy,1252,Zaid,1.11,Wheat,2449
Sikkim,Northeast,Laterite,954,Rabi,3.37,Rice,2943
Manipur,Northeast,Loamy,1275,Zaid,0.58,Rice,2759
Nagaland,Northeast,Loamy,955,Kharif,1.47,Millets,1677
Goa,West,Laterite,732,Kharif,0.87,Jute,2162
Madhya Pradesh,Central,Black (Regur),1114,Rabi,1.45,Millets,1938
Assam,Northeast,Clay,658,Kharif,2.15,Oilseeds,1038
Andhra Pradesh,South,Clay,983,Kharif,0.1,Wheat,3172
Arunachal Pradesh,Northeast,Loamy,808,Rabi,1.56,Wheat,3621
Himachal Pradesh,North,Alluvial,931,Kharif,1.33,Cotton,2350
Tripura,Northeast,Alluvial,542,Kharif,0.89,Pulses,973
Nagaland,Northeast,Laterite,854,Rabi,1.05,Jute,2272
Maharashtra,West,Sandy,1189,Rabi,1.16,Jute,2134
Himachal Pradesh,North,Laterite,1197,Kharif,1.04,Millets,1441
Madhya Pradesh,Central,Clay,1112,Kharif,1.92,Pulses,985
Rajasthan,West,Red,1157,Kharif,1.53,Jute,2519
Bihar,East,Black (Regur),760,Rabi,1.46,Wheat,3296
Assam,Northeast,Clay,822,Kharif,2.65,Wheat,3072
Nagaland,Northeast,Sandy,827,Kharif,0.83,Potato,18854
Meghalaya,Northeast,Red,780,Kharif,1.55,Potato,23894
Telangana,South,Laterite,923,Kharif,1.61,Pulses,821
Punjab,North,Black (Regur),1137,Kharif,0.1,Vegetables,16356
Karnataka,South,Black (Regur),1670,Kharif,0.8,Potato,21766
Rajasthan,West,Laterite,800,Kharif,3.57,Jute,2092
Odisha,East,Laterite,194,Rabi,0.58,Oilseeds,1034
Gujarat,West,Loamy,1207,Kharif,0.1,Millets,1700
Rajasthan,West,Laterite,928,Rabi,1.04,Vegetables,16562
Madhya Pradesh,Central,Clay,389,Rabi,0.93,Jute,2609
Uttar Pradesh,North,Alluvial,904,Kharif,3.27,Maize,3804
Arunachal Pradesh,Northeast,Loamy,913,Kharif,0.1,Pulses,940
Bihar,East,Sandy,819,Rabi,0.72,Jute,2304
Tripura,Northeast,Laterite,1039,Kharif,1.59,Pulses,922
Assam,Northeast,Laterite,609,Kharif,3.25,Sugarcane,55385
Meghalaya,Northeast,Black (Regur),730,Kharif,3.58,Wheat,2792
Karnataka,South,Laterite,878,Zaid,0.1,Sugarcane,51524
Nagaland,Northeast,Clay,1071,Kharif,3.07,Pulses,925
Telangana,South,Sandy,1108,Kharif,1.52,Potato,20625
Uttar Pradesh,North,Clay,1002,Rabi,2.48,Oilseeds,1278
Sikkim,Northeast,Loamy,670,Kharif,2.27,Wheat,2785
West Bengal,East,Loamy,778,Rabi,3.08,Wheat,3612
Karnataka,South,Laterite,1087,Kharif,2.42,Vegetables,14024
Madhya Pradesh,Central,Sandy,112,Rabi,0.1,Sugarcane,45380
Jharkhand,East,Black (Regur),1390,Rabi,0.1,Oilseeds,1156
Uttarakhand,North,Loamy,775,Kharif,0.36,Oilseeds,1357
Assam,Northeast,Laterite,842,Kharif,2.97,Maize,3193
Odisha,East,Sandy,687,Kharif,1.08,Sugarcane,55881
Kerala,South,Clay,29,Rabi,0.46,Wheat,2580
Rajasthan,West,Alluvial,579,Kharif,3.3,Oilseeds,1345
Bihar,East,Clay,677,Rabi,0.1,Vegetables,17163
Goa,West,Clay,1159,Kharif,1.91,Potato,23547
Goa,West,Red,1244,Rabi,1.07,Millets,1749
Chhattisgarh,Central,Alluvial,1004,Zaid,1.04,Maize,3159
Tamil Nadu,South,Clay,507,Rabi,1.6,Potato,23577
Madhya Pradesh,Central,Clay,658,Kharif,1.41,Jute,2259
Meghalaya,Northeast,Clay,1569,Rabi,3.27,Millets,1533
Kerala,South,Black (Regur),712,Kharif,1.85,Potato,23395
Jharkhand,East,Sandy,1051,Rabi,0.1,Rice,2677
Rajasthan,West,Alluvial,1081,Zaid,2.61,Pulses,879
Tamil Nadu,South,Red,1118,Kharif,1.11,Millets,1454
Assam,Northeast,Laterite,559,Kharif,0.13,Cotton,1685
Assam,Northeast,Black (Regur),597,Kharif,0.69,Oilseeds,1079
Tamil Nadu,South,Clay,977,Kharif,1.84,Pulses,867
Uttar Pradesh,North,Red,973,Kharif,0.1,Maize,3282
Sikkim,Northeast,Alluvial,1043,Rabi,2.46,Cotton,2606
Chhattisgarh,Central,Black (Regur),1018,Rabi,1.79,Wheat,3456
Madhya Pradesh,Central,Clay,878,Kharif,2,Sugarcane,69628
Telangana,South,Loamy,1250,Kharif,0.1,Cotton,2276
Mizoram,Northeast,Loamy,1497,Kharif,0.1,Oilseeds,1139
Haryana,North,Sandy,1183,Rabi,1.59,Jute,2182
West Bengal,East,Sandy,959,Rabi,0.1,Wheat,2483
Assam,Northeast,Alluvial,702,Zaid,2.09,Sugarcane,71177
Maharashtra,West,Sandy,971,Kharif,1.91,Wheat,2504
Gujarat,West,Red,521,Kharif,0.1,Millets,1392
Jharkhand,East,Clay,923,Kharif,4.23,Wheat,2912
Punjab,North,Loamy,1244,Rabi,2.78,Rice,3490
Kerala,South,Loamy,553,Kharif,2.94,Potato,23623
Bihar,East,Clay,668,Kharif,1.36,Vegetables,15587
Meghalaya,Northeast,Black (Regur),987,Rabi,2.11,Wheat,3663
Sikkim,Northeast,Sandy,929,Kharif,1.35,Rice,2662
Madhya Pradesh,Central,Clay,1055,Kharif,0.1,Millets,1549
Karnataka,South,Red,1155,Kharif,2.04,Sugarcane,67085
Arunachal Pradesh,Northeast,Alluvial,1204,Zaid,2.06,Potato,24120
Jharkhand,East,Alluvial,764,Kharif,3.53,Vegetables,17528
Kerala,South,Clay,858,Rabi,0.1,Cotton,2148
Maharashtra,West,Loamy,1428,Rabi,0.1,Rice,3373
Madhya Pradesh,Central,Alluvial,1211,Kharif,1.37,Rice,3792
Chhattisgarh,Central,Laterite,437,Rabi,1.27,Jute,2238
Telangana,South,Laterite,583,Rabi,2.49,Rice,2784
Chhattisgarh,Central,Red,456,Zaid,2.91,Jute,1878
Himachal Pradesh,North,Laterite,749,Rabi,1.15,Maize,3292
Karnataka,South,Clay,815,Kharif,2.38,Wheat,2699
Uttar Pradesh,North,Loamy,1028,Rabi,3.81,Maize,3665
Haryana,North,Alluvial,841,Rabi,5.16,Rice,4156
West Bengal,East,Laterite,1327,Kharif,2.77,Wheat,2046
Uttarakhand,North,Laterite,605,Rabi,2.72,Millets,1293
Odisha,East,Alluvial,1039,Zaid,3.14,Maize,3054
West Bengal,East,Alluvial,1547,Zaid,2.35,Pulses,853
Madhya Pradesh,Central,Black (Regur),942,Kharif,2.25,Potato,23993
Chhattisgarh,Central,Laterite,278,Rabi,1.52,Oilseeds,866
Himachal Pradesh,North,Loamy,482,Rabi,1.23,Sugarcane,77684
Madhya Pradesh,Central,Sandy,684,Rabi,2.79,Jute,2084
Goa,West,Alluvial,918,Rabi,1.09,Oilseeds,1533
Tripura,Northeast,Laterite,769,Kharif,0.71,Rice,2984
Haryana,North,Black (Regur),1208,Kharif,0.1,Maize,3342
Karnataka,South,Sandy,677,Kharif,0.1,Vegetables,11995
Gujarat,West,Black (Regur),937,Kharif,1.8,Rice,3130
Haryana,North,Red,947,Zaid,2.11,Maize,3113
West Bengal,East,Laterite,1349,Rabi,0.47,Sugarcane,62092
Assam,Northeast,Black (Regur),762,Rabi,2.41,Maize,4061
Maharashtra,West,Loamy,797,Kharif,0.1,Vegetables,19185
Haryana,North,Black (Regur),840,Kharif,0.92,Rice,3604
Odisha,East,Sandy,359,Kharif,0.1,Vegetables,12198
Odisha,East,Red,964,Rabi,4.9,Maize,3606
Assam,Northeast,Loamy,677,Rabi,1.81,Cotton,2344
Kerala,South,Alluvial,610,Kharif,1.97,Maize,3601
Meghalaya,Northeast,Black (Regur),305,Kharif,1.81,Millets,1573
Haryana,North,Clay,1131,Kharif,1.62,Wheat,2689
Goa,West,Alluvial,1006,Kharif,1.18,Vegetables,20273
Meghalaya,Northeast,Loamy,1034,Kharif,1.05,Wheat,3067
Gujarat,West,Loamy,765,Kharif,0.65,Wheat,2889
Odisha,East,Alluvial,674,Kharif,1.94,Millets,1606
Meghalaya,Northeast,Laterite,1236,Rabi,1.3,Wheat,2799
Madhya Pradesh,Central,Red,715,Kharif,1.29,Pulses,874
Manipur,Northeast,Red,887,Kharif,1.93,Millets,1375
Sikkim,Northeast,Clay,357,Rabi,0.74,Sugarcane,66819
Nagaland,Northeast,Sandy,779,Rabi,1.57,Rice,2946
Mizoram,Northeast,Sandy,1211,Kharif,1.09,Maize,3125
Uttar Pradesh,North,Alluvial,0,Zaid,3.13,Millets,1104
Punjab,North,Clay,669,Kharif,2.28,Jute,2442
Mizoram,Northeast,Clay,453,Rabi,0.41,Wheat,2875
Chhattisgarh,Central,Alluvial,772,Zaid,1.29,Potato,24549
Kerala,South,Loamy,835,Kharif,1.29,Potato,24463
Punjab,North,Alluvial,1232,Kharif,0.23,Rice,3635
Himachal Pradesh,North,Clay,684,Rabi,3.64,Millets,1441
West Bengal,East,Loamy,1009,Kharif,0.66,Pulses,1042
Assam,Northeast,Clay,540,Kharif,1.64,Jute,2426
Mizoram,Northeast,Loamy,1285,Kharif,3.26,Vegetables,16434
Gujarat,West,Alluvial,253,Kharif,2.23,Cotton,1680
Uttarakhand,North,Alluvial,917,Rabi,2.89,Oilseeds,1426
West Bengal,East,Red,1293,Kharif,0.27,Wheat,2672
Madhya Pradesh,Central,Clay,1170,Zaid,0.15,Millets,1334
Rajasthan,West,Clay,759,Zaid,0.26,Maize,3113
Punjab,North,Sandy,632,Rabi,4.45,Millets,1272
Madhya Pradesh,Central,Laterite,652,Kharif,0.1,Pulses,782
Andhra Pradesh,South,Clay,526,Rabi,0.89,Potato,22063
