latitude,longitude,soil_type,rainfall_mm,season,area_ha,crop_name
20.943976,73.887398,Black (Regur),557,Kharif,0.1,Cotton
18.957814,76.21879,Sandy,532,Kharif,3.19,Pulses
22.745933,95.707496,Alluvial,461,Rabi,3.08,Potato
19.950503,89.492079,Loamy,978,Zaid,1.44,Vegetables
27.491595,68.049893,Sandy,261,Kharif,0.1,Millets
9.92428,87.595012,Red,819,Rabi,0.97,Potato
19.230805,79.870811,Sandy,538,Kharif,3.16,Pulses
24.92666,76.878021,Alluvial,1031,Rabi,2.28,Vegetables
20.787175,81.043714,Red,607,Kharif,0.1,Maize
22.17493,86.671755,Loamy,535,Rabi,1.24,Potato
12.052234,69.363305,Sandy,497,Kharif,0.19,Millets
27.149742,82.584126,Loamy,672,Rabi,0.1,Wheat
12.836884,96.259998,Alluvial,477,Rabi,0.55,Wheat
20.777689,83.668391,Alluvial,754,Kharif,0.72,Vegetables
19.735371,94.752215,Alluvial,542,Rabi,0.14,Potato
25.53569,90.591504,Alluvial,555,Rabi,2.79,Potato
16.792013,83.934491,Black (Regur),808,Kharif,1.96,Cotton
17.099238,81.744767,Loamy,1039,Rabi,2.75,Vegetables
31.560131,90.58504,Red,533,Rabi,1.14,Pulses
19.523085,90.051712,Loamy,512,Rabi,0.67,Potato
18.693573,87.731772,Loamy,969,Kharif,2.66,Maize
8.741577,79.623598,Loamy,614,Rabi,2.14,Oilseeds
18.425356,74.243978,Red,496,Rabi,0.84,Pulses
20.933438,90.096216,Red,387,Kharif,2.91,Millets
34.114323,73.88114,Loamy,544,Rabi,2.86,Wheat
20.788435,75.559189,Red,510,Kharif,0.26,Wheat
34.529821,71.188913,Red,462,Rabi,0.3,Pulses
13.454069,85.466887,Sandy,447,Kharif,2.73,Millets
29.896248,84.69501,Alluvial,1588,Kharif,2.0,Sugarcane
31.36333,92.258762,Sandy,686,Kharif,3.43,Oilseeds
12.843766,83.391529,Red,771,Rabi,0.11,Oilseeds
28.103221,75.917668,Loamy,562,Kharif,1.11,Oilseeds
23.670865,87.71156,Black (Regur),930,Kharif,0.89,Cotton
17.359318,93.969439,Black (Regur),518,Kharif,1.0,Cotton
19.176773,84.377698,Clay,1460,Kharif,0.39,Rice
19.121031,75.177502,Red,572,Rabi,1.75,Pulses
17.096761,88.734221,Alluvial,1363,Kharif,3.4,Jute
34.149133,88.359825,Clay,1231,Kharif,1.69,Sugarcane
30.89728,76.739271,Alluvial,634,Rabi,1.63,Potato
23.217372,88.573813,Clay,1102,Kharif,0.94,Rice
21.164641,78.050825,Alluvial,596,Rabi,1.05,Wheat
23.868082,88.250305,Black (Regur),886,Kharif,1.11,Cotton
19.444786,85.585742,Sandy,513,Kharif,1.31,Oilseeds
35.22586,77.008717,Black (Regur),638,Kharif,1.36,Cotton
26.161774,72.633184,Laterite,1070,Rabi,2.52,Vegetables
14.365596,88.855197,Alluvial,695,Rabi,1.88,Potato
24.219214,91.715218,Alluvial,682,Rabi,1.02,Potato
9.640046,91.382543,Alluvial,504,Rabi,1.08,Wheat
27.242676,95.808949,Sandy,491,Rabi,2.12,Pulses
14.885117,70.694143,Red,298,Kharif,0.16,Millets
9.106371,90.30993,Loamy,1068,Kharif,1.84,Vegetables
21.52246,70.691651,Red,841,Kharif,2.01,Maize
21.625398,87.546214,Alluvial,1327,Kharif,1.09,Jute
34.68008,79.923164,Loamy,601,Rabi,1.52,Oilseeds
22.257083,86.367699,Alluvial,1499,Kharif,0.69,Sugarcane
20.048193,88.598376,Alluvial,964,Kharif,0.1,Maize
23.186914,70.749671,Red,636,Kharif,1.64,Maize
16.026193,88.809643,Alluvial,1164,Kharif,1.39,Sugarcane
33.351374,82.993106,Laterite,812,Rabi,3.59,Pulses
21.962786,92.206209,Red,430,Kharif,0.15,Millets
20.280053,82.288071,Alluvial,1597,Kharif,1.14,Jute
14.567152,79.29764,Clay,1377,Rabi,2.04,Pulses
29.790826,87.234561,Laterite,1244,Kharif,1.83,Vegetables
32.040235,80.989033,Sandy,1066,Zaid,1.56,Millets
20.910992,96.591507,Alluvial,1581,Kharif,1.79,Jute
22.674614,96.147118,Alluvial,1143,Kharif,0.1,Rice
25.356928,95.167408,Red,408,Kharif,1.72,Millets
20.20116,88.473034,Alluvial,971,Kharif,0.54,Jute
22.607074,84.694878,Sandy,566,Kharif,2.97,Pulses
21.685849,85.203135,Alluvial,1058,Kharif,2.42,Rice
32.783259,87.989521,Alluvial,416,Rabi,0.3,Potato
26.983622,81.476656,Black (Regur),753,Kharif,2.41,Cotton
23.807328,97.284415,Red,1045,Kharif,0.44,Rice
29.403569,96.721283,Sandy,1222,Rabi,0.1,Cotton
14.022625,73.608894,Red,625,Kharif,0.1,Maize
25.774367,77.11352,Alluvial,610,Rabi,1.98,Potato
12.830102,71.898714,Alluvial,612,Rabi,2.56,Potato
33.136346,95.853541,Sandy,831,Kharif,0.1,Oilseeds
28.739166,74.655634,Loamy,1678,Rabi,1.11,Sugarcane
18.8508,75.801528,Loamy,877,Rabi,0.1,Vegetables
33.858027,71.19621,Alluvial,1398,Kharif,0.1,Jute
25.81044,86.744416,Alluvial,1100,Kharif,2.66,Maize
16.370026,82.532426,Alluvial,1569,Kharif,1.22,Jute
27.15331,83.935679,Loamy,425,Rabi,2.53,Wheat
19.223187,96.069885,Black (Regur),641,Kharif,2.77,Cotton
34.975512,78.836381,Alluvial,507,Rabi,1.96,Wheat
20.504728,87.551678,Alluvial,1208,Kharif,1.43,Jute
29.641898,74.053564,Black (Regur),949,Kharif,2.31,Cotton
29.687703,85.581458,Loamy,434,Rabi,2.0,Potato
26.179085,68.760514,Clay,1062,Kharif,0.1,Rice
11.48586,80.418336,Clay,1198,Kharif,1.81,Sugarcane
21.855564,95.889761,Alluvial,606,Rabi,0.55,Potato
9.672699,82.129966,Red,798,Rabi,2.69,Oilseeds
16.858075,72.375848,Alluvial,1688,Kharif,0.38,Jute
22.590313,81.384605,Laterite,275,Kharif,0.93,Millets
23.161719,93.532023,Loamy,926,Kharif,2.58,Oilseeds
10.614861,80.589538,Red,927,Kharif,0.97,Oilseeds
10.34752,80.740357,Loamy,977,Rabi,0.1,Vegetables
17.065264,71.605823,Clay,1016,Kharif,1.05,Rice
16.592345,71.056217,Alluvial,520,Rabi,0.79,Wheat
18.107929,90.496866,Alluvial,827,Zaid,2.16,Vegetables
23.310343,85.96535,Loamy,511,Rabi,2.25,Potato
8.167909,93.66095,Clay,1414,Kharif,2.34,Rice
13.916154,80.385059,Alluvial,877,Zaid,2.48,Vegetables
12.278447,90.255858,Loamy,640,Kharif,3.25,Oilseeds
15.512088,90.270823,Loamy,870,Kharif,2.66,Vegetables
16.481533,74.505294,Red,988,Kharif,4.28,Maize
17.023365,68.228032,Black (Regur),608,Kharif,2.57,Cotton
26.371325,78.447932,Alluvial,518,Rabi,1.56,Wheat
19.805318,79.930475,Alluvial,1354,Kharif,1.66,Jute
20.652665,88.343496,Alluvial,692,Kharif,0.76,Vegetables
18.883584,77.1531,Sandy,241,Kharif,1.03,Millets
13.332352,90.898733,Black (Regur),904,Kharif,0.1,Cotton
13.424975,85.77077,Laterite,313,Kharif,2.85,Millets
23.502726,85.094309,Alluvial,1044,Zaid,0.83,Vegetables
16.69382,80.973003,Alluvial,1114,Kharif,2.41,Rice
16.536216,81.331459,Alluvial,774,Rabi,3.18,Wheat
18.573268,85.119718,Loamy,839,Kharif,2.17,Vegetables
24.63766,82.790335,Alluvial,762,Rabi,0.1,Wheat
9.076408,88.87484,Alluvial,498,Rabi,0.77,Potato
17.305097,85.637633,Loamy,1361,Kharif,2.43,Sugarcane
14.929884,93.121205,Red,868,Kharif,2.87,Maize
34.611654,88.605159,Clay,1202,Kharif,1.01,Sugarcane
17.033105,71.769916,Loamy,867,Rabi,0.1,Sugarcane
19.643675,78.673929,Red,1161,Kharif,1.17,Oilseeds
12.260992,76.725867,Alluvial,1422,Kharif,0.1,Sugarcane
32.100801,86.231928,Alluvial,832,Zaid,3.43,Vegetables
27.832532,69.288927,Loamy,747,Rabi,2.8,Potato
20.345519,83.753329,Black (Regur),508,Kharif,0.1,Cotton
35.072094,81.619559,Alluvial,866,Kharif,1.48,Maize
24.628245,93.753557,Loamy,708,Rabi,0.41,Wheat
31.407066,76.409359,Clay,558,Kharif,1.95,Pulses
30.45934,94.096578,Red,355,Rabi,2.2,Pulses
14.174816,77.401204,Alluvial,933,Kharif,0.1,Maize
20.992511,92.517759,Loamy,518,Rabi,1.54,Wheat
30.961485,84.189725,Loamy,440,Rabi,2.46,Cotton
14.557086,86.849076,Loamy,809,Zaid,3.17,Vegetables
22.172833,75.137175,Alluvial,838,Kharif,1.51,Vegetables
26.37591,83.442794,Clay,1306,Kharif,1.27,Sugarcane
32.016615,69.284266,Black (Regur),898,Zaid,1.72,Wheat
26.070371,71.058084,Clay,1382,Kharif,1.81,Sugarcane
12.814951,90.984707,Loamy,1160,Kharif,1.6,Maize
33.949142,69.091022,Loamy,726,Rabi,1.83,Potato
22.933344,75.472756,Clay,765,Rabi,3.83,Rice
15.513457,91.580601,Sandy,470,Rabi,0.1,Pulses
21.645589,82.67694,Loamy,460,Rabi,0.1,Wheat
12.962553,76.666109,Alluvial,791,Zaid,0.63,Vegetables
26.968532,78.370636,Sandy,389,Rabi,0.63,Pulses
34.06737,70.213714,Loamy,730,Kharif,1.34,Maize
31.338406,88.003622,Alluvial,1751,Kharif,2.35,Jute
8.890596,72.526426,Alluvial,899,Rabi,2.97,Vegetables
18.945936,87.162042,Alluvial,1126,Kharif,1.62,Sugarcane
11.238427,90.861452,Red,812,Rabi,1.48,Oilseeds
31.452723,81.335259,Loamy,1286,Kharif,2.45,Jute
9.785825,83.994055,Red,413,Kharif,0.1,Millets
21.990783,71.580192,Alluvial,1523,Kharif,2.9,Jute
20.853661,96.998853,Red,932,Rabi,2.03,Oilseeds
19.259422,84.959565,Laterite,694,Zaid,0.48,Millets
32.143904,91.017756,Alluvial,1350,Kharif,0.87,Sugarcane
30.863247,83.284013,Alluvial,1395,Kharif,3.19,Jute
32.610463,92.955044,Red,228,Kharif,1.24,Millets
10.569281,86.909129,Alluvial,1079,Zaid,2.95,Vegetables
9.132843,93.481545,Laterite,444,Kharif,0.28,Millets
19.456137,86.85024,Alluvial,464,Rabi,1.01,Potato
30.202106,79.97973,Sandy,759,Rabi,1.97,Oilseeds
24.683157,77.221184,Red,570,Kharif,1.42,Pulses
22.161954,71.132426,Alluvial,422,Rabi,2.4,Wheat
31.764506,80.334975,Alluvial,1791,Kharif,0.1,Jute
21.702302,83.184383,Red,458,Kharif,1.51,Pulses
13.916472,78.410405,Alluvial,427,Kharif,0.17,Millets
8.224879,71.171164,Alluvial,1601,Kharif,0.1,Jute
23.682745,73.742331,Sandy,651,Kharif,2.36,Sugarcane
26.710963,71.504925,Alluvial,1296,Kharif,0.45,Jute
24.567731,79.840919,Sandy,912,Kharif,2.32,Oilseeds
24.672164,83.207419,Alluvial,854,Kharif,2.59,Vegetables
24.327428,82.965792,Clay,1470,Kharif,0.52,Rice
11.014126,80.287938,Clay,1314,Kharif,0.1,Rice
34.594444,91.095668,Loamy,551,Kharif,1.89,Oilseeds
27.832528,90.850881,Alluvial,698,Rabi,1.22,Wheat
16.626543,72.467222,Red,502,Rabi,1.48,Oilseeds
28.003558,88.820369,Alluvial,1594,Kharif,3.08,Sugarcane
20.640747,83.727248,Sandy,202,Kharif,0.1,Millets
24.777106,73.671793,Alluvial,473,Rabi,4.23,Potato
13.700139,88.797154,Red,249,Kharif,0.46,Potato
26.607112,79.200978,Alluvial,441,Rabi,0.89,Potato
10.173309,95.258284,Alluvial,1270,Kharif,1.61,Sugarcane
27.144711,72.049552,Alluvial,1476,Kharif,1.89,Sugarcane
9.443505,80.19239,Clay,1513,Kharif,0.91,Sugarcane
19.189955,95.583447,Alluvial,1702,Kharif,4.44,Jute
32.968266,70.639091,Sandy,858,Kharif,0.1,Rice
19.491837,92.709344,Alluvial,563,Rabi,2.35,Potato
16.205786,85.782097,Red,1274,Kharif,1.4,Oilseeds
31.404143,81.806613,Laterite,435,Kharif,3.2,Millets
8.387315,77.944809,Laterite,267,Kharif,0.76,Millets
19.761839,77.673836,Alluvial,1659,Kharif,2.11,Jute
15.171595,74.947877,Alluvial,869,Zaid,2.89,Vegetables
17.887682,74.970926,Alluvial,1295,Kharif,2.65,Sugarcane
29.170629,88.363566,Loamy,784,Zaid,3.09,Cotton
12.212603,90.058178,Alluvial,1452,Kharif,0.1,Sugarcane
14.00632,75.30023,Clay,1101,Kharif,0.1,Sugarcane
33.224229,71.310159,Alluvial,645,Kharif,1.45,Maize
22.309392,71.429081,Red,625,Rabi,1.68,Oilseeds
11.628469,80.255025,Sandy,371,Kharif,2.01,Rice
8.082925,74.428089,Alluvial,1449,Kharif,1.86,Rice
35.118774,81.9261,Sandy,401,Kharif,0.1,Millets
35.303556,79.283149,Sandy,488,Kharif,1.84,Millets
25.972188,78.259212,Black (Regur),513,Kharif,1.89,Cotton
8.625222,76.801708,Black (Regur),986,Kharif,2.04,Cotton
12.265838,73.560173,Alluvial,1069,Rabi,1.85,Vegetables
14.618323,69.985082,Clay,1228,Kharif,0.42,Rice
19.062297,74.913009,Loamy,535,Rabi,0.85,Potato
23.843034,85.035507,Loamy,1158,Kharif,2.42,Maize
14.078675,76.864778,Alluvial,489,Rabi,0.43,Maize
23.285893,69.383081,Red,650,Zaid,0.1,Jute
12.103484,79.105576,Alluvial,836,Kharif,2.36,Maize
23.465614,96.549693,Alluvial,1512,Kharif,2.09,Jute
31.296168,70.727688,Loamy,1176,Rabi,1.87,Vegetables
10.001569,91.737193,Sandy,580,Rabi,1.0,Jute
13.824714,73.605699,Black (Regur),511,Kharif,1.5,Cotton
13.624111,94.996231,Laterite,432,Kharif,2.82,Millets
17.890227,94.042953,Alluvial,1263,Kharif,1.34,Jute
16.605356,69.348606,Alluvial,783,Rabi,2.24,Vegetables
16.117788,73.787658,Red,418,Kharif,0.28,Millets
15.076486,92.236962,Loamy,718,Rabi,1.54,Jute
23.030024,73.429409,Sandy,1252,Zaid,1.11,Wheat
9.334146,68.188323,Laterite,954,Rabi,3.37,Rice
18.263019,86.226139,Alluvial,1486,Kharif,0.58,Rice
19.311809,68.493421,Sandy,422,Kharif,1.47,Millets
10.942952,70.84126,Alluvial,1480,Kharif,0.87,Jute
10.173029,96.299285,Sandy,373,Kharif,1.45,Millets
25.977732,93.317465,Sandy,713,Kharif,2.15,Oilseeds
27.328242,70.439241,Loamy,678,Rabi,0.1,Wheat
14.318579,94.587552,Loamy,808,Rabi,1.56,Wheat
32.73107,84.623541,Black (Regur),937,Kharif,1.33,Cotton
30.568995,92.21662,Sandy,376,Kharif,0.89,Pulses
17.122571,90.290473,Alluvial,1727,Kharif,1.05,Jute
14.38396,70.242538,Alluvial,1333,Kharif,1.16,Jute
29.547574,81.291231,Laterite,1197,Kharif,1.04,Millets
10.356588,86.249169,Red,523,Kharif,1.92,Pulses
12.242614,79.493848,Alluvial,1436,Kharif,1.53,Jute
11.643943,73.528058,Black (Regur),760,Rabi,1.46,Wheat
24.415425,91.140942,Alluvial,426,Rabi,2.65,Wheat
32.893208,96.856105,Alluvial,746,Rabi,0.83,Potato
12.013208,72.932618,Loamy,604,Rabi,1.55,Potato
25.188426,85.517289,Sandy,523,Kharif,1.61,Pulses
18.446974,93.43485,Alluvial,749,Rabi,0.1,Vegetables
24.58831,88.511123,Loamy,687,Rabi,0.8,Potato
21.502701,84.988439,Alluvial,1786,Kharif,3.57,Jute
13.494501,97.419315,Red,571,Kharif,0.58,Oilseeds
20.057511,76.594271,Laterite,393,Kharif,0.1,Millets
16.327898,75.45411,Alluvial,613,Rabi,1.04,Vegetables
22.695104,95.243125,Clay,389,Rabi,0.93,Jute
22.764915,86.826321,Red,1038,Kharif,3.27,Maize
23.488558,87.028421,Sandy,323,Rabi,0.1,Pulses
15.115305,83.064949,Alluvial,1286,Kharif,0.72,Jute
26.687776,88.367901,Laterite,1039,Kharif,1.59,Pulses
11.191907,95.749947,Clay,1599,Kharif,3.25,Sugarcane
10.684633,89.298821,Loamy,435,Rabi,3.58,Wheat
25.819173,87.97561,Alluvial,1154,Kharif,0.1,Sugarcane
19.725158,81.630598,Sandy,533,Kharif,3.07,Pulses
24.887941,73.821071,Loamy,653,Rabi,1.52,Potato
29.890221,85.031763,Loamy,628,Rabi,2.48,Oilseeds
31.722505,83.567593,Alluvial,781,Rabi,2.27,Wheat
20.591166,73.089562,Loamy,778,Rabi,3.08,Wheat
11.241195,77.00871,Laterite,1087,Kharif,2.42,Vegetables
19.633567,82.356771,Sandy,112,Rabi,0.1,Sugarcane
11.858155,77.28011,Sandy,615,Rabi,0.1,Oilseeds
18.558465,84.566671,Loamy,829,Rabi,0.36,Oilseeds
23.548439,91.478486,Laterite,842,Kharif,2.97,Maize
28.419252,90.594627,Loamy,1476,Kharif,1.08,Sugarcane
22.906193,90.325194,Alluvial,546,Rabi,0.46,Wheat
28.662001,76.782414,Sandy,830,Kharif,3.3,Oilseeds
29.32987,74.989909,Loamy,936,Kharif,0.1,Vegetables
24.944158,91.153055,Loamy,533,Rabi,1.91,Potato
16.900474,88.769586,Red,1244,Rabi,1.07,Millets
34.47623,91.177886,Red,788,Kharif,1.04,Maize
16.85766,75.302865,Alluvial,537,Rabi,1.6,Potato
20.429772,86.692019,Alluvial,1330,Kharif,1.41,Jute
17.000455,68.072956,Sandy,353,Kharif,3.27,Millets
31.377922,91.472499,Loamy,742,Rabi,1.85,Potato
17.288267,85.049042,Sandy,1051,Rabi,0.1,Rice
29.556968,81.557662,Red,553,Kharif,2.61,Pulses
33.008698,94.023359,Sandy,478,Kharif,1.11,Millets
18.225704,94.662108,Black (Regur),727,Kharif,0.13,Cotton
27.351696,68.032046,Red,718,Kharif,0.69,Oilseeds
17.448289,71.557517,Red,477,Kharif,1.84,Pulses
10.816747,77.243869,Loamy,796,Kharif,0.1,Maize
11.928459,83.649994,Black (Regur),530,Kharif,2.46,Cotton
33.297088,86.174242,Alluvial,635,Rabi,1.79,Wheat
17.66723,80.666968,Alluvial,1590,Kharif,2.0,Sugarcane
24.70881,90.979605,Black (Regur),889,Kharif,0.1,Cotton
13.187779,79.556655,Loamy,1497,Kharif,0.1,Oilseeds
21.73852,85.520928,Alluvial,1618,Kharif,1.59,Jute
31.071766,80.415474,Loamy,453,Rabi,0.1,Wheat
8.379319,74.364417,Loamy,1100,Kharif,2.09,Sugarcane
27.299793,70.43162,Loamy,663,Rabi,1.91,Wheat
34.793618,72.583625,Laterite,349,Kharif,0.1,Millets
27.213587,89.533772,Loamy,655,Rabi,4.23,Wheat
9.513287,87.649348,Loamy,1244,Rabi,2.78,Rice
22.382647,91.098119,Alluvial,405,Rabi,2.94,Potato
29.214333,68.866009,Clay,668,Kharif,1.36,Vegetables
20.517939,78.623655,Alluvial,493,Rabi,2.11,Wheat
27.876405,74.73793,Clay,1415,Kharif,1.35,Rice
33.30623,73.279348,Clay,1055,Kharif,0.1,Millets
14.827238,95.017716,Loamy,1461,Kharif,2.04,Sugarcane
12.93197,91.727972,Loamy,442,Rabi,2.06,Potato
17.000775,84.316196,Alluvial,822,Kharif,3.53,Vegetables
24.271501,82.55414,Black (Regur),735,Kharif,0.1,Cotton
8.657532,83.975583,Clay,1256,Kharif,0.1,Rice
31.347665,89.452844,Clay,1157,Kharif,1.37,Rice
27.570443,70.744286,Alluvial,1239,Kharif,1.27,Jute
10.334816,70.819522,Clay,1310,Kharif,2.49,Rice
14.511223,75.699233,Red,456,Zaid,2.91,Jute
14.424309,95.834863,Red,1169,Kharif,1.15,Maize
19.179095,83.809774,Alluvial,446,Rabi,2.38,Wheat
26.866508,92.378407,Red,696,Kharif,3.81,Maize
34.631,79.689212,Alluvial,1190,Kharif,5.16,Rice
20.435532,90.068314,Alluvial,664,Rabi,2.77,Wheat
29.4764,74.5575,Sandy,495,Kharif,2.72,Millets
15.117568,91.976039,Alluvial,997,Kharif,3.14,Maize
30.807295,77.780722,Alluvial,1547,Zaid,2.35,Pulses
21.643476,79.290518,Alluvial,682,Rabi,2.25,Potato
8.95286,86.265708,Red,645,Rabi,1.52,Oilseeds
18.53292,80.367427,Alluvial,1403,Kharif,1.23,Sugarcane
29.502684,78.593807,Alluvial,1505,Kharif,2.79,Jute
8.716732,85.614932,Loamy,890,Kharif,1.09,Oilseeds
24.059695,74.866483,Clay,1006,Kharif,0.71,Rice
23.831533,96.988607,Black (Regur),1208,Kharif,0.1,Maize
30.170781,88.579984,Loamy,1069,Zaid,0.1,Vegetables
31.009163,91.906834,Alluvial,1457,Kharif,1.8,Rice
8.54802,82.100675,Loamy,873,Kharif,2.11,Maize
31.87597,69.756901,Laterite,1349,Rabi,0.47,Sugarcane
18.273746,95.786735,Alluvial,895,Kharif,2.41,Maize
29.775669,96.339532,Alluvial,889,Rabi,0.1,Vegetables
26.302121,92.0264,Clay,1115,Kharif,0.92,Rice
18.769039,97.331352,Sandy,359,Kharif,0.1,Vegetables
10.863031,82.637459,Alluvial,947,Kharif,4.9,Maize
30.5957,87.765725,Black (Regur),605,Kharif,1.81,Cotton
15.058093,71.187021,Loamy,1158,Kharif,1.97,Maize
32.248693,78.361319,Black (Regur),305,Kharif,1.81,Millets
12.473054,70.174427,Alluvial,604,Rabi,1.62,Wheat
32.41811,72.746683,Loamy,775,Kharif,1.18,Vegetables
27.373878,80.724038,Alluvial,605,Rabi,1.05,Wheat
19.255196,84.346317,Alluvial,691,Rabi,0.65,Wheat
23.115722,82.482974,Sandy,267,Kharif,1.94,Millets
13.491057,68.759203,Alluvial,545,Rabi,1.3,Wheat
20.950972,94.398886,Sandy,387,Kharif,1.29,Pulses
9.226965,80.972342,Sandy,392,Kharif,1.93,Millets
17.454263,83.972746,Loamy,1170,Kharif,0.74,Sugarcane
26.894368,95.622662,Clay,1338,Kharif,1.57,Rice
30.012384,87.987279,Loamy,781,Kharif,1.09,Maize
13.299967,69.258939,Red,305,Kharif,3.13,Millets
15.091875,94.868732,Alluvial,1312,Kharif,2.28,Jute
20.599322,93.767254,Loamy,708,Rabi,0.41,Wheat
23.581333,85.188974,Loamy,416,Rabi,1.29,Potato
32.142073,75.792031,Alluvial,638,Rabi,1.29,Potato
24.73802,88.463007,Clay,1070,Kharif,0.23,Rice
32.668362,68.59687,Sandy,210,Kharif,3.64,Millets
14.268829,76.864173,Red,561,Rabi,0.66,Pulses
13.168231,74.23602,Alluvial,1706,Kharif,1.64,Jute
29.765986,69.935701,Loamy,1285,Kharif,3.26,Vegetables
32.067465,73.92144,Black (Regur),745,Kharif,2.23,Cotton
20.766008,79.709797,Red,824,Kharif,2.89,Oilseeds
21.051013,84.264345,Loamy,526,Rabi,0.27,Wheat
9.365404,93.187729,Sandy,205,Kharif,0.15,Millets
19.261448,68.591545,Loamy,1130,Kharif,0.26,Maize
30.023782,74.601216,Sandy,221,Kharif,4.45,Millets
31.41862,81.540442,Red,464,Rabi,0.1,Pulses
22.066627,87.539486,Loamy,575,Rabi,0.89,Potato
21.247807,77.920368,Red,324,Kharif,0.79,Millets
22.225574,75.088911,Alluvial,1031,Rabi,0.1,Millets
27.835288,87.334317,Clay,1405,Kharif,2.08,Rice
30.440404,78.123428,Laterite,319,Kharif,1.05,Millets
31.249029,92.798841,Alluvial,555,Rabi,1.86,Potato
28.980251,73.400517,Black (Regur),571,Kharif,0.8,Cotton
19.562996,94.161885,Red,739,Kharif,3.75,Oilseeds
24.048302,95.856879,Red,221,Kharif,2.07,Millets
19.360449,93.69005,Loamy,615,Zaid,2.67,Vegetables
11.938664,93.440621,Laterite,477,Rabi,1.63,Maize
8.129621,76.069072,Alluvial,731,Rabi,1.17,Wheat
25.420907,79.900108,Alluvial,1401,Kharif,1.69,Jute
28.813313,83.665497,Alluvial,741,Rabi,0.85,Jute
18.547638,85.365785,Laterite,1600,Kharif,2.33,Oilseeds
22.413235,80.793124,Alluvial,1509,Kharif,3.66,Jute
34.07232,95.08706,Black (Regur),733,Kharif,4.93,Cotton
21.877423,71.633278,Loamy,640,Rabi,2.07,Potato
9.336141,97.343067,Loamy,948,Kharif,1.18,Wheat
11.398864,75.45578,Loamy,757,Kharif,0.1,Potato
26.218282,75.964326,Loamy,1263,Kharif,2.75,Sugarcane
15.774436,91.150422,Clay,1306,Kharif,2.39,Sugarcane
27.344511,76.71286,Red,623,Rabi,0.52,Oilseeds
8.350609,70.625584,Loamy,676,Rabi,0.9,Wheat
27.897999,70.988069,Alluvial,536,Rabi,2.39,Potato
30.362406,93.787143,Loamy,793,Rabi,0.51,Wheat
32.48303,68.285334,Red,859,Kharif,2.49,Oilseeds
32.158077,70.742064,Red,515,Kharif,2.3,Oilseeds
26.972317,82.108228,Clay,1276,Kharif,0.94,Rice
12.383373,80.272818,Loamy,887,Zaid,0.96,Vegetables
24.812357,93.445985,Sandy,663,Kharif,0.63,Oilseeds
20.118917,69.868413,Loamy,890,Zaid,0.1,Vegetables
34.892128,87.760409,Sandy,543,Kharif,0.1,Pulses
21.253066,87.579464,Alluvial,980,Zaid,0.2,Vegetables
