state,region,soil_type,rainfall_mm,season,area_ha,crop_name
Arunachal Pradesh,Northeast,Laterite,753,Rabi,3.25,Oilseeds
Maharashtra,West,Alluvial,936,Kharif,2.66,Vegetables
Sikkim,Northeast,Clay,822,Kharif,4.28,Maize
Jharkhand,East,Black (Regur),917,Kharif,2.57,Cotton
Uttarakhand,North,Loamy,606,Rabi,1.56,Wheat
Odisha,East,Alluvial,1702,Kharif,1.66,Jute
Punjab,North,Alluvial,1004,Kharif,0.76,Vegetables
Assam,Northeast,Red,522,Kharif,1.03,Millets
Mizoram,Northeast,Black (Regur),1039,Rabi,0.1,Cotton
Himachal Pradesh,North,Red,459,Rabi,2.85,Millets
Tripura,Northeast,Alluvial,859,Zaid,0.83,Vegetables
Rajasthan,West,Clay,1368,Kharif,2.41,Rice
Assam,Northeast,Loamy,729,Kharif,3.18,Wheat
Mizoram,Northeast,Alluvial,872,Rabi,2.17,Vegetables
Karnataka,South,Loamy,693,Kharif,0.1,Wheat
Goa,West,Loamy,844,Kharif,0.77,Potato
Tripura,Northeast,Alluvial,1761,Rabi,2.43,Sugarcane
Jharkhand,East,Clay,844,Rabi,2.87,Maize
Jharkhand,East,Alluvial,1522,Kharif,1.01,Sugarcane
Uttar Pradesh,North,Alluvial,1575,Rabi,0.1,Sugarcane
Sikkim,Northeast,Laterite,721,Kharif,1.17,Oilseeds
Chhattisgarh,Central,Alluvial,1698,Kharif,0.1,Sugarcane
Karnataka,South,Alluvial,1086,Kharif,3.43,Vegetables
Goa,West,Loamy,939,Rabi,2.8,Potato
Uttar Pradesh,North,Black (Regur),1037,Zaid,0.1,Cotton
Odisha,East,Clay,714,Rabi,1.48,Maize
Uttar Pradesh,North,Loamy,707,Rabi,0.41,Wheat
Mizoram,Northeast,Sandy,325,Kharif,1.95,Pulses
Haryana,North,Sandy,491,Kharif,2.2,Pulses
Kerala,South,Clay,841,Rabi,0.1,Maize
Uttarakhand,North,Loamy,898,Rabi,1.54,Wheat
Gujarat,West,Black (Regur),951,Rabi,2.46,Cotton
Arunachal Pradesh,Northeast,Alluvial,812,Kharif,3.17,Vegetables
Rajasthan,West,Alluvial,897,Kharif,1.51,Vegetables
Sikkim,Northeast,Alluvial,1747,Kharif,1.27,Sugarcane
Madhya Pradesh,Central,Loamy,892,Zaid,1.72,Wheat
Telangana,South,Alluvial,1821,Rabi,1.81,Sugarcane
Rajasthan,West,Clay,851,Zaid,1.6,Maize
Tripura,Northeast,Loamy,936,Kharif,1.83,Potato
Uttarakhand,North,Clay,1233,Rabi,3.83,Rice
Karnataka,South,Sandy,589,Rabi,0.1,Pulses
Goa,West,Loamy,739,Kharif,0.1,Wheat
Uttarakhand,North,Alluvial,950,Kharif,0.63,Vegetables
Goa,West,Sandy,416,Rabi,0.63,Pulses
Uttar Pradesh,North,Clay,843,Kharif,1.34,Maize
Chhattisgarh,Central,Alluvial,1537,Kharif,2.35,Jute
Odisha,East,Alluvial,919,Zaid,2.97,Vegetables
Kerala,South,Alluvial,1947,Zaid,1.62,Sugarcane
Nagaland,Northeast,Laterite,577,Kharif,1.48,Oilseeds
Chhattisgarh,Central,Alluvial,1778,Kharif,2.45,Jute
Tamil Nadu,South,Red,694,Rabi,0.1,Millets
Kerala,South,Alluvial,1513,Rabi,2.9,Jute
Kerala,South,Laterite,783,Rabi,2.03,Oilseeds
Tripura,Northeast,Red,486,Zaid,0.48,Millets
Chhattisgarh,Central,Alluvial,1512,Rabi,0.87,Sugarcane
Arunachal Pradesh,Northeast,Alluvial,1790,Kharif,3.19,Jute
Mizoram,Northeast,Red,642,Kharif,1.24,Millets
Nagaland,Northeast,Alluvial,940,Zaid,2.95,Vegetables
Odisha,East,Red,537,Kharif,0.28,Millets
Odisha,East,Loamy,781,Rabi,1.01,Potato
Uttar Pradesh,North,Laterite,782,Kharif,1.97,Oilseeds
Karnataka,South,Sandy,514,Kharif,1.42,Pulses
Kerala,South,Loamy,621,Kharif,2.4,Wheat
Madhya Pradesh,Central,Alluvial,1327,Zaid,0.1,Jute
Goa,West,Sandy,382,Rabi,1.51,Pulses
Haryana,North,Red,544,Kharif,0.17,Millets
Nagaland,Northeast,Alluvial,1564,Rabi,0.1,Jute
Arunachal Pradesh,Northeast,Alluvial,1880,Kharif,2.36,Sugarcane
Punjab,North,Alluvial,1476,Kharif,0.45,Jute
Gujarat,West,Laterite,621,Kharif,2.32,Oilseeds
Chhattisgarh,Central,Alluvial,1002,Zaid,2.59,Vegetables
Jharkhand,East,Clay,1217,Kharif,0.52,Rice
Sikkim,Northeast,Clay,1304,Rabi,0.1,Rice
Himachal Pradesh,North,Laterite,612,Rabi,1.89,Oilseeds
Rajasthan,West,Loamy,741,Kharif,1.22,Wheat
Manipur,Northeast,Laterite,578,Kharif,1.48,Oilseeds
Telangana,South,Alluvial,1930,Kharif,3.08,Sugarcane
Goa,West,Red,526,Kharif,0.1,Millets
Himachal Pradesh,North,Loamy,791,Kharif,4.23,Potato
Tamil Nadu,South,Loamy,890,Kharif,0.46,Potato
Odisha,East,Loamy,754,Rabi,0.89,Potato
Tamil Nadu,South,Alluvial,1701,Kharif,1.61,Sugarcane
Nagaland,Northeast,Alluvial,1933,Rabi,1.89,Sugarcane
Haryana,North,Alluvial,1611,Kharif,0.91,Sugarcane
Goa,West,Alluvial,1419,Kharif,4.44,Jute
Arunachal Pradesh,Northeast,Clay,1288,Kharif,0.1,Rice
Goa,West,Loamy,750,Zaid,2.35,Potato
Andhra Pradesh,South,Laterite,748,Kharif,1.4,Oilseeds
Chhattisgarh,Central,Red,523,Rabi,3.2,Millets
Goa,West,Red,549,Rabi,0.76,Millets
Uttarakhand,North,Alluvial,1458,Rabi,2.11,Jute
Andhra Pradesh,South,Alluvial,1167,Kharif,2.89,Vegetables
Rajasthan,West,Alluvial,1772,Kharif,2.65,Sugarcane
Tamil Nadu,South,Black (Regur),990,Zaid,3.09,Cotton
Meghalaya,Northeast,Alluvial,1923,Kharif,0.1,Sugarcane
Uttarakhand,North,Alluvial,1626,Rabi,0.1,Sugarcane
Assam,Northeast,Clay,790,Kharif,1.45,Maize
West Bengal,East,Laterite,618,Rabi,1.68,Oilseeds
Manipur,Northeast,Clay,1244,Kharif,2.01,Rice
Uttarakhand,North,Clay,1386,Kharif,1.86,Rice
Assam,Northeast,Red,606,Kharif,0.1,Millets
Kerala,South,Red,620,Zaid,1.84,Millets
Chhattisgarh,Central,Black (Regur),979,Zaid,1.89,Cotton
Tripura,Northeast,Black (Regur),795,Rabi,2.04,Cotton
Kerala,South,Alluvial,857,Rabi,1.85,Vegetables
Andhra Pradesh,South,Clay,1444,Kharif,0.42,Rice
Arunachal Pradesh,Northeast,Loamy,607,Rabi,0.85,Potato
Telangana,South,Clay,904,Rabi,2.42,Maize
Mizoram,Northeast,Clay,845,Rabi,0.43,Maize
Maharashtra,West,Alluvial,1581,Zaid,0.1,Jute
Maharashtra,West,Clay,737,Kharif,2.36,Maize
Arunachal Pradesh,Northeast,Alluvial,1342,Kharif,2.09,Jute
Manipur,Northeast,Alluvial,961,Rabi,1.87,Vegetables
West Bengal,East,Alluvial,1664,Rabi,1,Jute
Andhra Pradesh,South,Black (Regur),1053,Kharif,1.5,Cotton
Tamil Nadu,South,Red,507,Kharif,2.82,Millets
Himachal Pradesh,North,Alluvial,1634,Kharif,1.34,Jute
Kerala,South,Alluvial,866,Kharif,2.24,Vegetables
Maharashtra,West,Red,415,Kharif,0.28,Millets
Karnataka,South,Alluvial,1467,Rabi,1.54,Jute
Telangana,South,Loamy,764,Zaid,1.11,Wheat
Sikkim,Northeast,Clay,1446,Rabi,3.37,Rice
Manipur,Northeast,Clay,1345,Zaid,0.58,Rice
Nagaland,Northeast,Red,478,Kharif,1.47,Millets
Goa,West,Alluvial,1738,Kharif,0.87,Jute
Madhya Pradesh,Central,Red,689,Rabi,1.45,Millets
Assam,Northeast,Laterite,790,Kharif,2.15,Oilseeds
Andhra Pradesh,South,Loamy,803,Kharif,0.1,Wheat
Arunachal Pradesh,Northeast,Loamy,758,Rabi,1.56,Wheat
Himachal Pradesh,North,Black (Regur),1002,Kharif,1.33,Cotton
Tripura,Northeast,Sandy,544,Kharif,0.89,Pulses
Nagaland,Northeast,Alluvial,1650,Rabi,1.05,Jute
Maharashtra,West,Alluvial,1321,Rabi,1.16,Jute
Himachal Pradesh,North,Red,673,Kharif,1.04,Millets
Madhya Pradesh,Central,Sandy,419,Kharif,1.92,Pulses
Rajasthan,West,Alluvial,1396,Kharif,1.53,Jute
Bihar,East,Loamy,857,Rabi,1.46,Wheat
Assam,Northeast,Loamy,798,Kharif,2.65,Wheat
Nagaland,Northeast,Loamy,689,Kharif,0.83,Potato
Meghalaya,Northeast,Loamy,749,Kharif,1.55,Potato
Telangana,South,Sandy,457,Kharif,1.61,Pulses
Punjab,North,Alluvial,843,Kharif,0.1,Vegetables
Karnataka,South,Loamy,937,Kharif,0.8,Potato
Rajasthan,West,Alluvial,1533,Kharif,3.57,Jute
Odisha,East,Laterite,748,Rabi,0.58,Oilseeds
Gujarat,West,Red,438,Kharif,0.1,Millets
Rajasthan,West,Alluvial,1114,Rabi,1.04,Vegetables
Madhya Pradesh,Central,Alluvial,1510,Rabi,0.93,Jute
Uttar Pradesh,North,Clay,717,Kharif,3.27,Maize
Arunachal Pradesh,Northeast,Sandy,522,Kharif,0.1,Pulses
Bihar,East,Alluvial,1408,Rabi,0.72,Jute
Tripura,Northeast,Sandy,385,Kharif,1.59,Pulses
Assam,Northeast,Alluvial,1730,Kharif,3.25,Sugarcane
Meghalaya,Northeast,Loamy,809,Kharif,3.58,Wheat
Karnataka,South,Alluvial,1692,Zaid,0.1,Sugarcane
Nagaland,Northeast,Sandy,463,Kharif,3.07,Pulses
Telangana,South,Loamy,660,Kharif,1.52,Potato
Uttar Pradesh,North,Laterite,705,Rabi,2.48,Oilseeds
Sikkim,Northeast,Loamy,849,Kharif,2.27,Wheat
West Bengal,East,Loamy,676,Rabi,3.08,Wheat
Karnataka,South,Alluvial,992,Kharif,2.42,Vegetables
Madhya Pradesh,Central,Alluvial,1990,Rabi,0.1,Sugarcane
Jharkhand,East,Laterite,683,Rabi,0.1,Oilseeds
Uttarakhand,North,Laterite,756,Kharif,0.36,Oilseeds
Assam,Northeast,Clay,804,Kharif,2.97,Maize
Odisha,East,Alluvial,1518,Kharif,1.08,Sugarcane
Kerala,South,Loamy,663,Rabi,0.46,Wheat
Rajasthan,West,Laterite,712,Kharif,3.3,Oilseeds
Bihar,East,Alluvial,1007,Rabi,0.1,Vegetables
Goa,West,Loamy,837,Kharif,1.91,Potato
Goa,West,Red,454,Rabi,1.07,Millets
Chhattisgarh,Central,Clay,729,Zaid,1.04,Maize
Tamil Nadu,South,Loamy,632,Rabi,1.6,Potato
Madhya Pradesh,Central,Alluvial,1537,Kharif,1.41,Jute
Meghalaya,Northeast,Red,548,Rabi,3.27,Millets
Kerala,South,Loamy,963,Kharif,1.85,Potato
Jharkhand,East,Clay,1444,Rabi,0.1,Rice
Rajasthan,West,Sandy,411,Zaid,2.61,Pulses
Tamil Nadu,South,Red,494,Kharif,1.11,Millets
Assam,Northeast,Black (Regur),1023,Kharif,0.13,Cotton
Assam,Northeast,Laterite,672,Kharif,0.69,Oilseeds
Tamil Nadu,South,Sandy,464,Kharif,1.84,Pulses
Uttar Pradesh,North,Clay,755,Kharif,0.1,Maize
Sikkim,Northeast,Black (Regur),800,Rabi,2.46,Cotton
Chhattisgarh,Central,Loamy,834,Rabi,1.79,Wheat
Madhya Pradesh,Central,Alluvial,1661,Kharif,2,Sugarcane
Telangana,South,Black (Regur),1087,Kharif,0.1,Cotton
Mizoram,Northeast,Laterite,592,Kharif,0.1,Oilseeds
Haryana,North,Alluvial,1624,Rabi,1.59,Jute
West Bengal,East,Loamy,759,Rabi,0.1,Wheat
Assam,Northeast,Alluvial,1586,Zaid,2.09,Sugarcane
Maharashtra,West,Loamy,765,Kharif,1.91,Wheat
Gujarat,West,Red,619,Kharif,0.1,Millets
Jharkhand,East,Loamy,851,Kharif,4.23,Wheat
Punjab,North,Clay,1209,Rabi,2.78,Rice
Kerala,South,Loamy,654,Kharif,2.94,Potato
Bihar,East,Alluvial,822,Kharif,1.36,Vegetables
Meghalaya,Northeast,Loamy,623,Rabi,2.11,Wheat
Sikkim,Northeast,Clay,1504,Kharif,1.35,Rice
Madhya Pradesh,Central,Red,484,Kharif,0.1,Millets
Karnataka,South,Alluvial,1798,Kharif,2.04,Sugarcane
Arunachal Pradesh,Northeast,Loamy,642,Zaid,2.06,Potato
Jharkhand,East,Alluvial,908,Kharif,3.53,Vegetables
Kerala,South,Black (Regur),795,Rabi,0.1,Cotton
Maharashtra,West,Clay,1548,Rabi,0.1,Rice
Madhya Pradesh,Central,Clay,1278,Kharif,1.37,Rice
Chhattisgarh,Central,Alluvial,1568,Rabi,1.27,Jute
Telangana,South,Clay,1320,Rabi,2.49,Rice
Chhattisgarh,Central,Alluvial,1547,Zaid,2.91,Jute
Himachal Pradesh,North,Clay,862,Rabi,1.15,Maize
Karnataka,South,Loamy,653,Kharif,2.38,Wheat
Uttar Pradesh,North,Clay,929,Rabi,3.81,Maize
Haryana,North,Clay,1499,Rabi,5.16,Rice
West Bengal,East,Loamy,806,Kharif,2.77,Wheat
Uttarakhand,North,Red,587,Rabi,2.72,Millets
Odisha,East,Clay,725,Zaid,3.14,Maize
West Bengal,East,Sandy,506,Zaid,2.35,Pulses
Madhya Pradesh,Central,Loamy,994,Kharif,2.25,Potato
Chhattisgarh,Central,Laterite,737,Rabi,1.52,Oilseeds
Himachal Pradesh,North,Alluvial,1691,Rabi,1.23,Sugarcane
Madhya Pradesh,Central,Alluvial,1775,Rabi,2.79,Jute
Goa,West,Laterite,778,Rabi,1.09,Oilseeds
Tripura,Northeast,Clay,1243,Kharif,0.71,Rice
Haryana,North,Clay,934,Kharif,0.1,Maize
Karnataka,South,Alluvial,957,Kharif,0.1,Vegetables
Gujarat,West,Clay,1291,Kharif,1.8,Rice
Haryana,North,Clay,997,Zaid,2.11,Maize
West Bengal,East,Alluvial,1849,Rabi,0.47,Sugarcane
Assam,Northeast,Clay,989,Rabi,2.41,Maize
Maharashtra,West,Alluvial,1013,Kharif,0.1,Vegetables
Haryana,North,Clay,1266,Kharif,0.92,Rice
Odisha,East,Alluvial,1108,Kharif,0.1,Vegetables
Odisha,East,Clay,709,Rabi,4.9,Maize
Assam,Northeast,Black (Regur),1033,Rabi,1.81,Cotton
Kerala,South,Clay,915,Kharif,1.97,Maize
Meghalaya,Northeast,Red,452,Kharif,1.81,Millets
Haryana,North,Loamy,687,Kharif,1.62,Wheat
Goa,West,Alluvial,1064,Kharif,1.18,Vegetables
Meghalaya,Northeast,Loamy,669,Kharif,1.05,Wheat
Gujarat,West,Loamy,819,Kharif,0.65,Wheat
Odisha,East,Red,442,Kharif,1.94,Millets
Meghalaya,Northeast,Loamy,845,Rabi,1.3,Wheat
Madhya Pradesh,Central,Sandy,311,Kharif,1.29,Pulses
Manipur,Northeast,Red,488,Kharif,1.93,Millets
Sikkim,Northeast,Alluvial,1701,Rabi,0.74,Sugarcane
Nagaland,Northeast,Clay,1241,Rabi,1.57,Rice
Mizoram,Northeast,Clay,975,Kharif,1.09,Maize
Uttar Pradesh,North,Red,536,Zaid,3.13,Millets
Punjab,North,Alluvial,1766,Kharif,2.28,Jute
Mizoram,Northeast,Loamy,857,Rabi,0.41,Wheat
Chhattisgarh,Central,Loamy,878,Zaid,1.29,Potato
Kerala,South,Loamy,847,Kharif,1.29,Potato
Punjab,North,Clay,1297,Kharif,0.23,Rice
Himachal Pradesh,North,Red,439,Rabi,3.64,Millets
West Bengal,East,Sandy,514,Kharif,0.66,Pulses
Assam,Northeast,Alluvial,1686,Kharif,1.64,Jute
Mizoram,Northeast,Alluvial,1032,Kharif,3.26,Vegetables
Gujarat,West,Black (Regur),977,Kharif,2.23,Cotton
Uttarakhand,North,Laterite,614,Rabi,2.89,Oilseeds
West Bengal,East,Loamy,638,Kharif,0.27,Wheat
Madhya Pradesh,Central,Red,546,Zaid,0.15,Millets
Rajasthan,West,Clay,936,Zaid,0.26,Maize
Punjab,North,Red,624,Rabi,4.45,Millets
Madhya Pradesh,Central,Sandy,478,Kharif,0.1,Pulses
Andhra Pradesh,South,Loamy,873,Rabi,0.89,Potato
Bihar,East,Red,449,Rabi,0.79,Millets
Chhattisgarh,Central,Red,678,Rabi,0.1,Millets
Chhattisgarh,Central,Clay,1213,Kharif,2.08,Rice
Odisha,East,Red,625,Kharif,1.05,Millets
Jharkhand,East,Loamy,894,Kharif,1.86,Potato
Nagaland,Northeast,Black (Regur),856,Rabi,0.8,Cotton
Jharkhand,East,Laterite,786,Kharif,3.75,Oilseeds
Rajasthan,West,Red,602,Kharif,2.07,Millets
Jharkhand,East,Alluvial,969,Kharif,2.67,Vegetables
Manipur,Northeast,Clay,717,Rabi,1.63,Maize
Arunachal Pradesh,Northeast,Loamy,735,Rabi,1.17,Wheat
Maharashtra,West,Alluvial,1679,Kharif,1.69,Jute
Karnataka,South,Alluvial,1597,Rabi,0.85,Jute
Bihar,East,Laterite,593,Kharif,2.33,Oilseeds
Punjab,North,Alluvial,1403,Zaid,3.66,Jute
Goa,West,Black (Regur),1084,Kharif,4.93,Cotton
Odisha,East,Loamy,678,Rabi,2.07,Potato
Punjab,North,Loamy,807,Kharif,1.18,Wheat
Madhya Pradesh,Central,Loamy,763,Kharif,0.1,Potato
Bihar,East,Alluvial,1543,Rabi,2.75,Sugarcane
Bihar,East,Alluvial,1981,Kharif,2.39,Sugarcane
Kerala,South,Laterite,557,Kharif,0.52,Oilseeds
Andhra Pradesh,South,Loamy,887,Rabi,0.9,Wheat
Assam,Northeast,Loamy,918,Rabi,2.39,Potato
Bihar,East,Loamy,785,Kharif,0.51,Wheat
Tripura,Northeast,Laterite,515,Rabi,2.49,Oilseeds
Himachal Pradesh,North,Laterite,646,Kharif,2.3,Oilseeds
Madhya Pradesh,Central,Clay,1243,Rabi,0.94,Rice
West Bengal,East,Alluvial,1097,Kharif,0.96,Vegetables
Kerala,South,Laterite,505,Rabi,0.63,Oilseeds
Maharashtra,West,Alluvial,827,Kharif,0.1,Vegetables
Haryana,North,Sandy,482,Kharif,0.1,Pulses
Haryana,North,Alluvial,847,Kharif,0.2,Vegetables
Rajasthan,West,Laterite,735,Rabi,1.15,Oilseeds
Karnataka,South,Loamy,887,Rabi,3.03,Wheat
Uttar Pradesh,North,Red,618,Kharif,2.46,Millets
Madhya Pradesh,Central,Red,609,Rabi,0.1,Millets
Mizoram,Northeast,Black (Regur),728,Zaid,1.8,Cotton
Karnataka,South,Loamy,826,Rabi,2.5,Wheat
Haryana,North,Loamy,614,Zaid,2.91,Wheat
