latitude,longitude,soil_type,rainfall_mm,season,area_ha,crop_name,predicted_yield_kg_per_ha
15.489576,85.84248,Loamy,675,Kharif,0.1,Sugarcane,66537
9.39697,86.711391,Clay,1415,Kharif,1.55,Millets,1479
28.38385,84.274572,Black (Regur),1451,Rabi,3.37,Maize,3356
18.15344,84.29949,Black (Regur),670,Kharif,3.9,Rice,3231
26.756834,87.674536,Red,1128,Rabi,0.68,Vegetables,18431
31.776657,96.798078,Clay,739,Kharif,1.9,Jute,2662
30.061466,93.489889,Clay,1151,Kharif,3.07,Pulses,1015
20.943976,73.887398,Black (Regur),1160,Kharif,0.1,Cotton,1994
18.957814,76.21879,Alluvial,821,Zaid,3.19,Pulses,969
22.745933,95.707496,Alluvial,872,Rabi,3.08,Potato,25369
19.950503,89.492079,Red,1048,Kharif,1.44,Vegetables,14970
27.491595,68.049893,Clay,805,Kharif,0.1,Millets,1479
9.92428,87.595012,Red,819,Rabi,0.97,Potato,24173
19.230805,79.870811,Red,1058,Rabi,3.16,Pulses,1022
24.92666,76.878021,Sandy,831,Rabi,2.28,Vegetables,16043
20.787175,81.043714,Laterite,1106,Kharif,0.1,Maize,3120
22.17493,86.671755,Red,1109,Kharif,1.24,Potato,20736
12.052234,69.363305,Black (Regur),938,Rabi,0.19,Millets,1846
27.149742,82.584126,Laterite,657,Kharif,0.1,Wheat,2527
12.836884,96.259998,Sandy,273,Kharif,0.55,Wheat,1887
20.777689,83.668391,Sandy,1501,Rabi,0.72,Vegetables,14312
19.735371,94.752215,Black (Regur),886,Rabi,0.14,Potato,28024
25.53569,90.591504,Sandy,921,Kharif,2.79,Potato,18592
16.792013,83.934491,Laterite,771,Kharif,1.96,Cotton,1725
17.099238,81.744767,Alluvial,329,Kharif,2.75,Vegetables,18211
31.560131,90.58504,Black (Regur),1136,Kharif,1.14,Pulses,1062
19.523085,90.051712,Sandy,1178,Rabi,0.67,Potato,21321
18.693573,87.731772,Clay,1071,Kharif,2.66,Maize,3683
8.741577,79.623598,Sandy,1174,Rabi,2.14,Oilseeds,1103
18.425356,74.243978,Red,1076,Kharif,0.84,Pulses,853
20.933438,90.096216,Alluvial,644,Zaid,2.91,Millets,1281
34.114323,73.88114,Alluvial,924,Rabi,2.86,Wheat,3602
20.788435,75.559189,Red,510,Kharif,0.26,Wheat,2667
34.529821,71.188913,Alluvial,317,Zaid,0.3,Pulses,828
13.454069,85.466887,Clay,1313,Rabi,2.73,Millets,1514
29.896248,84.69501,Alluvial,640,Kharif,2,Sugarcane,69929
31.36333,92.258762,Alluvial,490,Kharif,3.43,Oilseeds,1305
12.843766,83.391529,Loamy,1033,Kharif,0.11,Oilseeds,1351
28.103221,75.917668,Clay,1122,Kharif,1.11,Oilseeds,1195
23.670865,87.71156,Red,1012,Kharif,0.89,Cotton,1937
17.359318,93.969439,Loamy,560,Rabi,1,Cotton,2070
19.176773,84.377698,Laterite,687,Rabi,0.39,Rice,2591
19.121031,75.177502,Loamy,536,Rabi,1.75,Pulses,1116
17.096761,88.734221,Red,958,Kharif,3.4,Jute,2211
34.149133,88.359825,Laterite,420,Kharif,1.69,Sugarcane,56650
30.89728,76.739271,Red,1269,Kharif,1.63,Potato,19950
23.217372,88.573813,Laterite,902,Rabi,0.94,Rice,3164
21.164641,78.050825,Alluvial,995,Kharif,1.05,Wheat,3169
23.868082,88.250305,Laterite,664,Kharif,1.11,Cotton,1579
19.444786,85.585742,Sandy,574,Kharif,1.31,Oilseeds,929
35.22586,77.008717,Sandy,1032,Kharif,1.36,Cotton,1829
26.161774,72.633184,Laterite,1070,Rabi,2.52,Vegetables,16531
14.365596,88.855197,Loamy,1097,Rabi,1.88,Potato,29022
24.219214,91.715218,Laterite,483,Kharif,1.02,Potato,20038
9.640046,91.382543,Sandy,675,Rabi,1.08,Wheat,2471
27.242676,95.808949,Sandy,525,Kharif,2.12,Pulses,760
14.885117,70.694143,Loamy,244,Rabi,0.16,Millets,1517
9.106371,90.30993,Black (Regur),673,Kharif,1.84,Vegetables,15755
21.52246,70.691651,Red,839,Kharif,2.01,Maize,3083
21.625398,87.546214,Black (Regur),585,Rabi,1.09,Jute,2502
34.68008,79.923164,Sandy,1505,Rabi,1.52,Oilseeds,992
22.257083,86.367699,Black (Regur),912,Rabi,0.69,Sugarcane,73011
20.048193,88.598376,Alluvial,531,Kharif,0.1,Maize,3217
23.186914,70.749671,Clay,754,Zaid,1.64,Maize,3023
16.026193,88.809643,Black (Regur),1122,Rabi,1.39,Sugarcane,73226
33.351374,82.993106,Laterite,812,Rabi,3.59,Pulses,905
21.962786,92.206209,Red,1106,Rabi,0.15,Millets,1642
20.280053,82.288071,Red,581,Rabi,1.14,Jute,2558
14.567152,79.29764,Clay,1377,Rabi,2.04,Pulses,870
29.790826,87.234561,Laterite,1244,Kharif,1.83,Vegetables,14611
32.040235,80.989033,Sandy,1066,Zaid,1.56,Millets,1318
20.910992,96.591507,Red,801,Rabi,1.79,Jute,2818
22.674614,96.147118,Loamy,935,Rabi,0.1,Rice,3830
25.356928,95.167408,Laterite,775,Rabi,1.72,Millets,1622
20.20116,88.473034,Alluvial,971,Kharif,0.54,Jute,2733
22.607074,84.694878,Clay,1086,Kharif,2.97,Pulses,967
21.685849,85.203135,Laterite,894,Kharif,2.42,Rice,3061
32.783259,87.989521,Laterite,1737,Kharif,0.3,Potato,18315
26.983622,81.476656,Red,641,Kharif,2.41,Cotton,1762
23.807328,97.284415,Red,1045,Kharif,0.44,Rice,3031
29.403569,96.721283,Sandy,1222,Rabi,0.1,Cotton,2005
14.022625,73.608894,Red,820,Rabi,0.1,Maize,3601
25.774367,77.11352,Black (Regur),794,Kharif,1.98,Potato,23414
12.830102,71.898714,Sandy,664,Rabi,2.56,Potato,20833
33.136346,95.853541,Clay,1271,Kharif,0.1,Oilseeds,1376
28.739166,74.655634,Loamy,1678,Rabi,1.11,Sugarcane,67632
18.8508,75.801528,Alluvial,691,Kharif,0.1,Vegetables,16322
33.858027,71.19621,Laterite,374,Kharif,0.1,Jute,2222
25.81044,86.744416,Black (Regur),801,Zaid,2.66,Maize,2886
16.370026,82.532426,Alluvial,610,Kharif,1.22,Jute,2593
27.15331,83.935679,Sandy,1075,Rabi,2.53,Wheat,2932
19.223187,96.069885,Alluvial,966,Rabi,2.77,Cotton,2721
34.975512,78.836381,Loamy,743,Kharif,1.96,Wheat,3460
20.504728,87.551678,Loamy,995,Rabi,1.43,Jute,2840
29.641898,74.053564,Clay,955,Rabi,2.31,Cotton,2230
29.687703,85.581458,Red,997,Rabi,2,Potato,25580
26.179085,68.760514,Alluvial,995,Kharif,0.1,Rice,3239
11.48586,80.418336,Alluvial,385,Rabi,1.81,Sugarcane,76117
21.855564,95.889761,Alluvial,1269,Rabi,0.55,Potato,27716
9.672699,82.129966,Black (Regur),1268,Kharif,2.69,Oilseeds,1210
16.858075,72.375848,Laterite,646,Kharif,0.38,Jute,2003
22.590313,81.384605,Sandy,939,Kharif,0.93,Millets,1379
23.161719,93.532023,Black (Regur),936,Kharif,2.58,Oilseeds,1296
10.614861,80.589538,Loamy,1337,Kharif,0.97,Oilseeds,1065
10.34752,80.740357,Loamy,1044,Rabi,0.1,Vegetables,21781
17.065264,71.605823,Red,1193,Rabi,1.05,Rice,3600
16.592345,71.056217,Sandy,781,Kharif,0.79,Wheat,2424
18.107929,90.496866,Sandy,552,Kharif,2.16,Vegetables,13213
23.310343,85.96535,Loamy,879,Rabi,2.25,Potato,29756
8.167909,93.66095,Sandy,1346,Rabi,2.34,Rice,2318
13.916154,80.385059,Red,799,Kharif,2.48,Vegetables,16267
12.278447,90.255858,Alluvial,838,Rabi,3.25,Oilseeds,1557
15.512088,90.270823,Alluvial,1246,Kharif,2.66,Vegetables,18430
16.481533,74.505294,Sandy,1104,Kharif,4.28,Maize,3006
17.023365,68.228032,Loamy,1154,Kharif,2.57,Cotton,2268
26.371325,78.447932,Black (Regur),956,Rabi,1.56,Wheat,3641
19.805318,79.930475,Loamy,946,Kharif,1.66,Jute,2542
20.652665,88.343496,Red,1025,Kharif,0.76,Vegetables,15642
18.883584,77.1531,Red,921,Kharif,1.03,Millets,1380
13.332352,90.898733,Red,1131,Rabi,0.1,Cotton,2020
13.424975,85.77077,Clay,1556,Rabi,2.85,Millets,1483
23.502726,85.094309,Loamy,508,Zaid,0.83,Vegetables,14252
16.69382,80.973003,Black (Regur),821,Kharif,2.41,Rice,3209
16.536216,81.331459,Alluvial,800,Kharif,3.18,Wheat,3308
18.573268,85.119718,Clay,1535,Rabi,2.17,Vegetables,16321
24.63766,82.790335,Alluvial,1113,Kharif,0.1,Wheat,3236
9.076408,88.87484,Black (Regur),679,Kharif,0.77,Potato,21450
17.305097,85.637633,Clay,763,Rabi,2.43,Sugarcane,77753
14.929884,93.121205,Sandy,701,Rabi,2.87,Maize,3403
34.611654,88.605159,Black (Regur),867,Kharif,1.01,Sugarcane,69895
17.033105,71.769916,Loamy,867,Rabi,0.1,Sugarcane,74488
19.643675,78.673929,Red,1161,Kharif,1.17,Oilseeds,1123
12.260992,76.725867,Clay,974,Kharif,0.1,Sugarcane,61940
32.100801,86.231928,Sandy,1196,Kharif,3.43,Vegetables,15162
27.832532,69.288927,Red,925,Rabi,2.8,Potato,25358
20.345519,83.753329,Red,1039,Zaid,0.1,Cotton,1748
35.072094,81.619559,Red,587,Rabi,1.48,Maize,3378
24.628245,93.753557,Alluvial,1168,Rabi,0.41,Wheat,3707
31.407066,76.409359,Clay,558,Kharif,1.95,Pulses,785
30.45934,94.096578,Alluvial,668,Kharif,2.2,Pulses,1033
14.174816,77.401204,Alluvial,587,Rabi,0.1,Maize,3338
20.992511,92.517759,Clay,870,Rabi,1.54,Wheat,2922
30.961485,84.189725,Loamy,440,Rabi,2.46,Cotton,2167
14.557086,86.849076,Sandy,1399,Kharif,3.17,Vegetables,12328
22.172833,75.137175,Laterite,1179,Kharif,1.51,Vegetables,14867
26.37591,83.442794,Red,547,Kharif,1.27,Sugarcane,59297
32.016615,69.284266,Black (Regur),898,Zaid,1.72,Wheat,2692
26.070371,71.058084,Sandy,855,Rabi,1.81,Sugarcane,61753
12.814951,90.984707,Black (Regur),711,Zaid,1.6,Maize,2897
33.949142,69.091022,Laterite,927,Kharif,1.83,Potato,20853
22.933344,75.472756,Clay,765,Rabi,3.83,Rice,3718
15.513457,91.580601,Black (Regur),873,Rabi,0.1,Pulses,1056
21.645589,82.67694,Clay,1052,Kharif,0.1,Wheat,2899
12.962553,76.666109,Alluvial,763,Kharif,0.63,Vegetables,19284
26.968532,78.370636,Alluvial,1252,Rabi,0.63,Pulses,1091
34.06737,70.213714,Loamy,402,Kharif,1.34,Maize,3580
31.338406,88.003622,Black (Regur),1375,Kharif,2.35,Jute,2205
8.890596,72.526426,Black (Regur),546,Zaid,2.97,Vegetables,13323
18.945936,87.162042,Laterite,1089,Zaid,1.62,Sugarcane,54032
11.238427,90.861452,Loamy,1145,Kharif,1.48,Oilseeds,1279
31.452723,81.335259,Loamy,1286,Kharif,2.45,Jute,2812
9.785825,83.994055,Red,736,Rabi,0.1,Millets,1538
21.990783,71.580192,Laterite,929,Rabi,2.9,Jute,2521
20.853661,96.998853,Laterite,1121,Rabi,2.03,Oilseeds,1253
19.259422,84.959565,Laterite,694,Zaid,0.48,Millets,1158
32.143904,91.017756,Loamy,917,Rabi,0.87,Sugarcane,87741
30.863247,83.284013,Red,692,Kharif,3.19,Jute,2359
32.610463,92.955044,Red,1131,Kharif,1.24,Millets,1437
10.569281,86.909129,Sandy,1149,Zaid,2.95,Vegetables,12434
9.132843,93.481545,Alluvial,652,Kharif,0.28,Millets,1476
19.456137,86.85024,Black (Regur),487,Rabi,1.01,Potato,24057
30.202106,79.97973,Black (Regur),1200,Kharif,1.97,Oilseeds,1313
24.683157,77.221184,Loamy,1175,Kharif,1.42,Pulses,945
22.161954,71.132426,Laterite,875,Kharif,2.4,Wheat,2408
31.764506,80.334975,Clay,1171,Zaid,0.1,Jute,2127
21.702302,83.184383,Black (Regur),769,Rabi,1.51,Pulses,1092
13.916472,78.410405,Alluvial,427,Kharif,0.17,Millets,1558
8.224879,71.171164,Laterite,828,Rabi,0.1,Jute,2267
23.682745,73.742331,Sandy,651,Kharif,2.36,Sugarcane,50175
26.710963,71.504925,Alluvial,976,Kharif,0.45,Jute,2913
24.567731,79.840919,Alluvial,1075,Kharif,2.32,Oilseeds,1391
24.672164,83.207419,Red,774,Zaid,2.59,Vegetables,15051
24.327428,82.965792,Sandy,835,Kharif,0.52,Rice,2607
11.014126,80.287938,Red,829,Rabi,0.1,Rice,3355
34.594444,91.095668,Clay,913,Rabi,1.89,Oilseeds,1294
27.832528,90.850881,Black (Regur),867,Kharif,1.22,Wheat,2896
16.626543,72.467222,Loamy,487,Kharif,1.48,Oilseeds,1323
28.003558,88.820369,Sandy,699,Kharif,3.08,Sugarcane,51194
20.640747,83.727248,Sandy,966,Kharif,0.1,Millets,1420
24.777106,73.671793,Laterite,685,Kharif,4.23,Potato,19830
13.700139,88.797154,Red,249,Kharif,0.46,Potato,16010
26.607112,79.200978,Black (Regur),1420,Rabi,0.89,Potato,20774
10.173309,95.258284,Loamy,700,Kharif,1.61,Sugarcane,70336
27.144711,72.049552,Sandy,906,Rabi,1.89,Sugarcane,60312
9.443505,80.19239,Loamy,831,Kharif,0.91,Sugarcane,80755
19.189955,95.583447,Black (Regur),1141,Kharif,4.44,Jute,2532
32.968266,70.639091,Sandy,858,Kharif,0.1,Rice,2898
19.491837,92.709344,Alluvial,620,Zaid,2.35,Potato,22250
16.205786,85.782097,Red,1274,Kharif,1.4,Oilseeds,1290
31.404143,81.806613,Laterite,663,Rabi,3.2,Millets,1342
8.387315,77.944809,Red,908,Rabi,0.76,Millets,1776
19.761839,77.673836,Black (Regur),965,Rabi,2.11,Jute,3164
15.171595,74.947877,Clay,709,Kharif,2.89,Vegetables,15158
17.887682,74.970926,Loamy,793,Kharif,2.65,Sugarcane,79947
29.170629,88.363566,Loamy,784,Zaid,3.09,Cotton,2227
12.212603,90.058178,Sandy,702,Kharif,0.1,Sugarcane,61516
14.00632,75.30023,Clay,985,Rabi,0.1,Sugarcane,78134
33.224229,71.310159,Clay,509,Kharif,1.45,Maize,2836
22.309392,71.429081,Laterite,259,Rabi,1.68,Oilseeds,1009
11.628469,80.255025,Sandy,371,Kharif,2.01,Rice,2372
8.082925,74.428089,Alluvial,839,Kharif,1.86,Rice,3766
35.118774,81.9261,Red,960,Kharif,0.1,Millets,1635
35.303556,79.283149,Clay,811,Zaid,1.84,Millets,1523
25.972188,78.259212,Laterite,777,Zaid,1.89,Cotton,1814
8.625222,76.801708,Loamy,639,Rabi,2.04,Cotton,2143
12.265838,73.560173,Loamy,1331,Rabi,1.85,Vegetables,18017
14.618323,69.985082,Sandy,517,Kharif,0.42,Rice,2298
19.062297,74.913009,Laterite,926,Rabi,0.85,Potato,21653
23.843034,85.035507,Clay,790,Rabi,2.42,Maize,4055
14.078675,76.864778,Alluvial,489,Rabi,0.43,Maize,3771
23.285893,69.383081,Red,650,Zaid,0.1,Jute,2025
12.103484,79.105576,Clay,912,Kharif,2.36,Maize,3565
23.465614,96.549693,Sandy,724,Kharif,2.09,Jute,2204
31.296168,70.727688,Loamy,1176,Rabi,1.87,Vegetables,20369
10.001569,91.737193,Sandy,580,Rabi,1,Jute,2047
13.824714,73.605699,Loamy,1242,Kharif,1.5,Cotton,2356
13.624111,94.996231,Sandy,830,Kharif,2.82,Millets,1301
17.890227,94.042953,Black (Regur),1235,Kharif,1.34,Jute,2865
16.605356,69.348606,Clay,1041,Kharif,2.24,Vegetables,17065
16.117788,73.787658,Laterite,1076,Kharif,0.28,Millets,1543
15.076486,92.236962,Loamy,718,Rabi,1.54,Jute,2795
23.030024,73.429409,Sandy,1252,Zaid,1.11,Wheat,2449
9.334146,68.188323,Laterite,954,Rabi,3.37,Rice,2943
18.263019,86.226139,Loamy,1275,Zaid,0.58,Rice,2759
19.311809,68.493421,Loamy,955,Kharif,1.47,Millets,1677
10.942952,70.84126,Laterite,732,Kharif,0.87,Jute,2162
10.173029,96.299285,Black (Regur),1114,Rabi,1.45,Millets,1938
25.977732,93.317465,Clay,658,Kharif,2.15,Oilseeds,1038
27.328242,70.439241,Clay,983,Kharif,0.1,Wheat,3172
14.318579,94.587552,Loamy,808,Rabi,1.56,Wheat,3621
32.73107,84.623541,Alluvial,931,Kharif,1.33,Cotton,2350
30.568995,92.21662,Alluvial,542,Kharif,0.89,Pulses,973
17.122571,90.290473,Laterite,854,Rabi,1.05,Jute,2272
14.38396,70.242538,Sandy,1189,Rabi,1.16,Jute,2134
29.547574,81.291231,Laterite,1197,Kharif,1.04,Millets,1441
10.356588,86.249169,Clay,1112,Kharif,1.92,Pulses,985
12.242614,79.493848,Red,1157,Kharif,1.53,Jute,2519
11.643943,73.528058,Black (Regur),760,Rabi,1.46,Wheat,3296
24.415425,91.140942,Clay,822,Kharif,2.65,Wheat,3072
32.893208,96.856105,Sandy,827,Kharif,0.83,Potato,18854
12.013208,72.932618,Red,780,Kharif,1.55,Potato,23894
25.188426,85.517289,Laterite,923,Kharif,1.61,Pulses,821
18.446974,93.43485,Black (Regur),1137,Kharif,0.1,Vegetables,16356
24.58831,88.511123,Black (Regur),1670,Kharif,0.8,Potato,21766
21.502701,84.988439,Laterite,800,Kharif,3.57,Jute,2092
13.494501,97.419315,Laterite,194,Rabi,0.58,Oilseeds,1034
20.057511,76.594271,Loamy,1207,Kharif,0.1,Millets,1700
16.327898,75.45411,Laterite,928,Rabi,1.04,Vegetables,16562
22.695104,95.243125,Clay,389,Rabi,0.93,Jute,2609
22.764915,86.826321,Alluvial,904,Kharif,3.27,Maize,3804
23.488558,87.028421,Loamy,913,Kharif,0.1,Pulses,940
15.115305,83.064949,Sandy,819,Rabi,0.72,Jute,2304
26.687776,88.367901,Laterite,1039,Kharif,1.59,Pulses,922
11.191907,95.749947,Laterite,609,Kharif,3.25,Sugarcane,55385
10.684633,89.298821,Black (Regur),730,Kharif,3.58,Wheat,2792
25.819173,87.97561,Laterite,878,Zaid,0.1,Sugarcane,51524
19.725158,81.630598,Clay,1071,Kharif,3.07,Pulses,925
24.887941,73.821071,Sandy,1108,Kharif,1.52,Potato,20625
29.890221,85.031763,Clay,1002,Rabi,2.48,Oilseeds,1278
31.722505,83.567593,Loamy,670,Kharif,2.27,Wheat,2785
20.591166,73.089562,Loamy,778,Rabi,3.08,Wheat,3612
11.241195,77.00871,Laterite,1087,Kharif,2.42,Vegetables,14024
19.633567,82.356771,Sandy,112,Rabi,0.1,Sugarcane,45380
11.858155,77.28011,Black (Regur),1390,Rabi,0.1,Oilseeds,1156
18.558465,84.566671,Loamy,775,Kharif,0.36,Oilseeds,1357
23.548439,91.478486,Laterite,842,Kharif,2.97,Maize,3193
28.419252,90.594627,Sandy,687,Kharif,1.08,Sugarcane,55881
22.906193,90.325194,Clay,29,Rabi,0.46,Wheat,2580
28.662001,76.782414,Alluvial,579,Kharif,3.3,Oilseeds,1345
29.32987,74.989909,Clay,677,Rabi,0.1,Vegetables,17163
24.944158,91.153055,Clay,1159,Kharif,1.91,Potato,23547
16.900474,88.769586,Red,1244,Rabi,1.07,Millets,1749
34.47623,91.177886,Alluvial,1004,Zaid,1.04,Maize,3159
16.85766,75.302865,Clay,507,Rabi,1.6,Potato,23577
20.429772,86.692019,Clay,658,Kharif,1.41,Jute,2259
17.000455,68.072956,Clay,1569,Rabi,3.27,Millets,1533
31.377922,91.472499,Black (Regur),712,Kharif,1.85,Potato,23395
17.288267,85.049042,Sandy,1051,Rabi,0.1,Rice,2677
29.556968,81.557662,Alluvial,1081,Zaid,2.61,Pulses,879
33.008698,94.023359,Red,1118,Kharif,1.11,Millets,1454
18.225704,94.662108,Laterite,559,Kharif,0.13,Cotton,1685
27.351696,68.032046,Black (Regur),597,Kharif,0.69,Oilseeds,1079
17.448289,71.557517,Clay,977,Kharif,1.84,Pulses,867
10.816747,77.243869,Red,973,Kharif,0.1,Maize,3282
11.928459,83.649994,Alluvial,1043,Rabi,2.46,Cotton,2606
33.297088,86.174242,Black (Regur),1018,Rabi,1.79,Wheat,3456
17.66723,80.666968,Clay,878,Kharif,2,Sugarcane,69628
24.70881,90.979605,Loamy,1250,Kharif,0.1,Cotton,2276
13.187779,79.556655,Loamy,1497,Kharif,0.1,Oilseeds,1139
21.73852,85.520928,Sandy,1183,Rabi,1.59,Jute,2182
31.071766,80.415474,Sandy,959,Rabi,0.1,Wheat,2483
8.379319,74.364417,Alluvial,702,Zaid,2.09,Sugarcane,71177
27.299793,70.43162,Sandy,971,Kharif,1.91,Wheat,2504
34.793618,72.583625,Red,521,Kharif,0.1,Millets,1392
27.213587,89.533772,Clay,923,Kharif,4.23,Wheat,2912
9.513287,87.649348,Loamy,1244,Rabi,2.78,Rice,3490
22.382647,91.098119,Loamy,553,Kharif,2.94,Potato,23623
29.214333,68.866009,Clay,668,Kharif,1.36,Vegetables,15587
20.517939,78.623655,Black (Regur),987,Rabi,2.11,Wheat,3663
27.876405,74.73793,Sandy,929,Kharif,1.35,Rice,2662
33.30623,73.279348,Clay,1055,Kharif,0.1,Millets,1549
14.827238,95.017716,Red,1155,Kharif,2.04,Sugarcane,67085
12.93197,91.727972,Alluvial,1204,Zaid,2.06,Potato,24120
17.000775,84.316196,Alluvial,764,Kharif,3.53,Vegetables,17528
24.271501,82.55414,Clay,858,Rabi,0.1,Cotton,2148
8.657532,83.975583,Loamy,1428,Rabi,0.1,Rice,3373
31.347665,89.452844,Alluvial,1211,Kharif,1.37,Rice,3792
27.570443,70.744286,Laterite,437,Rabi,1.27,Jute,2238
10.334816,70.819522,Laterite,583,Rabi,2.49,Rice,2784
14.511223,75.699233,Red,456,Zaid,2.91,Jute,1878
14.424309,95.834863,Laterite,749,Rabi,1.15,Maize,3292
19.179095,83.809774,Clay,815,Kharif,2.38,Wheat,2699
26.866508,92.378407,Loamy,1028,Rabi,3.81,Maize,3665
34.631,79.689212,Alluvial,841,Rabi,5.16,Rice,4156
20.435532,90.068314,Laterite,1327,Kharif,2.77,Wheat,2046
29.4764,74.5575,Laterite,605,Rabi,2.72,Millets,1293
15.117568,91.976039,Alluvial,1039,Zaid,3.14,Maize,3054
30.807295,77.780722,Alluvial,1547,Zaid,2.35,Pulses,853
21.643476,79.290518,Black (Regur),942,Kharif,2.25,Potato,23993
8.95286,86.265708,Laterite,278,Rabi,1.52,Oilseeds,866
18.53292,80.367427,Loamy,482,Rabi,1.23,Sugarcane,77684
29.502684,78.593807,Sandy,684,Rabi,2.79,Jute,2084
8.716732,85.614932,Alluvial,918,Rabi,1.09,Oilseeds,1533
24.059695,74.866483,Laterite,769,Kharif,0.71,Rice,2984
23.831533,96.988607,Black (Regur),1208,Kharif,0.1,Maize,3342
30.170781,88.579984,Sandy,677,Kharif,0.1,Vegetables,11995
31.009163,91.906834,Black (Regur),937,Kharif,1.8,Rice,3130
8.54802,82.100675,Red,947,Zaid,2.11,Maize,3113
31.87597,69.756901,Laterite,1349,Rabi,0.47,Sugarcane,62092
18.273746,95.786735,Black (Regur),762,Rabi,2.41,Maize,4061
29.775669,96.339532,Loamy,797,Kharif,0.1,Vegetables,19185
26.302121,92.0264,Black (Regur),840,Kharif,0.92,Rice,3604
18.769039,97.331352,Sandy,359,Kharif,0.1,Vegetables,12198
10.863031,82.637459,Red,964,Rabi,4.9,Maize,3606
30.5957,87.765725,Loamy,677,Rabi,1.81,Cotton,2344
15.058093,71.187021,Alluvial,610,Kharif,1.97,Maize,3601
32.248693,78.361319,Black (Regur),305,Kharif,1.81,Millets,1573
12.473054,70.174427,Clay,1131,Kharif,1.62,Wheat,2689
32.41811,72.746683,Alluvial,1006,Kharif,1.18,Vegetables,20273
27.373878,80.724038,Loamy,1034,Kharif,1.05,Wheat,3067
19.255196,84.346317,Loamy,765,Kharif,0.65,Wheat,2889
23.115722,82.482974,Alluvial,674,Kharif,1.94,Millets,1606
13.491057,68.759203,Laterite,1236,Rabi,1.3,Wheat,2799
20.950972,94.398886,Red,715,Kharif,1.29,Pulses,874
9.226965,80.972342,Red,887,Kharif,1.93,Millets,1375
17.454263,83.972746,Clay,357,Rabi,0.74,Sugarcane,66819
26.894368,95.622662,Sandy,779,Rabi,1.57,Rice,2946
30.012384,87.987279,Sandy,1211,Kharif,1.09,Maize,3125
13.299967,69.258939,Alluvial,0,Zaid,3.13,Millets,1104
15.091875,94.868732,Clay,669,Kharif,2.28,Jute,2442
20.599322,93.767254,Clay,453,Rabi,0.41,Wheat,2875
23.581333,85.188974,Alluvial,772,Zaid,1.29,Potato,24549
32.142073,75.792031,Loamy,835,Kharif,1.29,Potato,24463
24.73802,88.463007,Alluvial,1232,Kharif,0.23,Rice,3635
32.668362,68.59687,Clay,684,Rabi,3.64,Millets,1441
14.268829,76.864173,Loamy,1009,Kharif,0.66,Pulses,1042
13.168231,74.23602,Clay,540,Kharif,1.64,Jute,2426
29.765986,69.935701,Loamy,1285,Kharif,3.26,Vegetables,16434
32.067465,73.92144,Alluvial,253,Kharif,2.23,Cotton,1680
20.766008,79.709797,Alluvial,917,Rabi,2.89,Oilseeds,1426
21.051013,84.264345,Red,1293,Kharif,0.27,Wheat,2672
